Time,Speed
20,182.36796
40,182.36796
60,182.36796
80,182.54461224489796
100,182.54461224489796
120,184.3974166666667
140,182.02316
160,182.25924489795918
180,182.25924489795918
200,182.25924489795918
220,182.3592083333333
240,182.10822448979593
260,182.09271428571427
280,182.09271428571427
300,182.09271428571427
320,182.01104166666664
340,182.0013958333333
360,181.94083673469385
380,181.94083673469385
400,181.9497551020408
420,182.46695833333334
440,178.76216666666664
460,178.72154166666664
480,178.5739387755102
500,178.56391836734693
520,178.61124489795915
540,182.3457083333333
560,182.36235416666668
580,182.09912244897959
600,182.0618163265306
620,182.16620408163263
640,182.35764583333332
660,182.5029375
680,182.47597916666666
700,182.27281632653057
720,182.34338775510201
740,182.49125
760,182.291125
780,182.30889583333337
800,182.2889583333333
820,182.3277551020408
840,182.3277551020408
860,182.64277083333332
880,182.65077083333335
900,182.58164583333334
920,182.5427142857143
940,182.51877551020408
960,182.45526530612247
980,182.6209375
1000,182.52752083333334
1020,182.528875
1040,182.3976530612245
1060,182.40563265306122
1080,182.5635208333333
1100,182.4511666666667
1120,182.46941666666666
1140,182.35738775510202
1160,182.39683673469386
1180,182.49026530612247
1200,182.71218750000003
1220,182.79039583333335
1240,182.79429166666668
1260,182.63165306122443
1280,182.7659387755102
1300,182.82087755102037
1320,182.77795918367346
1340,182.9360833333333
1360,182.92839583333333
1380,182.59232653061224
1400,182.59389795918364
1420,182.67472916666665
1440,182.4665
1460,182.47102083333334
1480,182.23571428571427
1500,182.30408163265307
1520,178.5381632653061
1540,178.6881875
1560,178.4686458333333
1580,178.4686458333333
1600,178.24251020408167
1620,182.03252083333334
1640,182.1034693877551
1660,182.16750000000002
1680,182.175375
1700,181.77853061224485
1720,181.96508163265304
1740,182.1475833333333
1760,182.179
1780,182.3514583333333
1800,178.24035416666666
1820,174.12273469387753
1840,174.077
1860,174.05181632653063
1880,173.9221666666667
1900,161.4337446808511
1920,140.07417391304352
1940,142.81348979591837
1960,142.81348979591837
1980,138.26
2000,150.01002325581396
2020,153.38330952380952
2040,152.8264680851064
2060,154.337
2080,157.60697916666666
2100,161.31712765957448
2120,176.94228260869565
2140,181.17957446808512
2160,181.11544897959186
2180,182.06802325581396
2200,181.83673809523808
2220,180.96756249999999
2240,180.89447916666668
2260,180.94952083333337
2280,180.91291836734695
2300,181.084306122449
2320,181.48767346938777
2340,181.79037499999995
2360,181.803125
2380,181.75667346938775
2400,181.85442857142857
2420,182.0064166666667
2440,181.97568749999996
2460,181.98737500000001
2480,182.12775000000002
2500,181.8952244897959
2520,181.91622448979592
2540,174.74404166666667
2560,163.691375
2580,163.73252083333333
2600,163.9546530612245
2620,163.9046326530612
2640,166.957914893617
2660,174.11904444444446
2680,170.28586666666666
2700,170.43268085106382
2720,170.57710416666666
2740,163.1735625
2760,155.5320425531915
2780,159.06500000000003
2800,155.34126086956522
2820,156.16997916666665
2840,149.1947142857143
2860,135.93832608695652
2880,134.14138636363634
2900,135.27504444444443
2920,140.58208510638298
2940,131.36091836734693
2960,147.83332608695653
2980,165.275825
3000,169.89188372093022
3020,170.36853333333332
3040,170.83464583333333
3060,174.4176170212766
3080,178.31141666666667
3100,178.41835416666663
3120,178.44552083333335
3140,178.42451020408163
3160,178.04399999999998
3180,178.15342857142858
3200,178.07200000000003
3220,181.75456250000002
3240,181.56026530612243
3260,181.42283673469387
3280,181.35979591836733
3300,181.43626530612246
3320,181.46316326530612
3340,181.63075
3360,181.44283333333337
3380,181.1038571428571
3400,181.07093877551023
3420,181.06555102040818
3440,181.27479166666663
3460,181.26275
3480,181.19935416666667
3500,181.1028163265306
3520,181.048
3540,181.23733333333334
3560,181.19968749999998
3580,181.23127659574465
3600,180.80606122448975
3620,180.79891836734691
3640,180.84985714285713
3660,181.08820833333334
3680,181.09979166666665
3700,181.21343749999997
3720,181.04689795918364
3740,181.06126530612246
3760,181.09091836734694
3780,181.17963265306122
3800,177.39866666666668
3820,177.5074375
3840,177.37197959183675
3860,177.4268367346939
3880,177.42279166666665
3900,181.1928510638298
3920,181.2217916666667
3940,181.17591836734692
3960,177.2382244897959
3980,177.33416666666668
4000,177.37468749999996
4020,177.32429166666668
4040,177.3702291666667
4060,176.8188125
4080,169.16283333333334
4100,169.18675000000002
4120,169.41289361702127
4140,169.5795957446808
4160,165.1868085106383
4180,156.52808510638297
4200,153.465
4220,149.55177083333334
4240,149.53235416666666
4260,147.5613913043478
4280,159.57517391304347
4300,167.82060869565217
4320,172.57559574468084
4340,168.89654166666665
4360,176.32239130434778
4380,168.747829787234
4400,169.3619591836735
4420,169.409
4440,169.327125
4460,169.2245
4480,176.47610869565216
4500,172.66991666666664
4520,172.6816041666667
4540,173.20610204081638
4560,169.61963265306125
4580,173.42062499999997
4600,173.459375
4620,173.48038775510204
4640,173.50271428571432
4660,177.04131914893614
4680,177.15856250000002
4700,177.12658333333334
4720,177.00020408163266
4740,177.0881020408163
4760,177.13318367346938
4780,177.32606249999995
4800,177.42133333333334
4820,177.24421276595743
4840,181.30089583333333
4860,181.02612765957446
4880,181.33257142857144
4900,181.33100000000002
4920,181.3740416666667
4940,181.40533333333335
4960,181.37628571428576
4980,181.4374285714286
5000,181.74404166666667
5020,181.66795833333333
5040,177.8376041666667
5060,177.54683673469387
5080,177.62361224489797
5100,177.62953061224493
5120,177.40204255319148
5140,181.19634782608694
5160,181.51385416666668
5180,181.23002040816328
5200,181.1884081632653
5220,181.33614583333335
5240,181.35324999999997
5260,181.29464583333333
5280,181.1378163265306
5300,181.2534489795918
5320,181.4033125
5340,181.38010416666665
5360,181.46666666666667
5380,177.87258333333332
5400,177.83853061224494
5420,177.8854693877551
5440,177.84304081632655
5460,178.00814583333332
5480,177.98242553191488
5500,174.13741666666667
5520,174.08004081632652
5540,174.15941666666666
5560,174.21095833333334
5580,174.13966666666667
5600,174.11112765957444
5620,173.9959375
5640,174.01500000000001
5660,173.98695833333332
5680,173.94962499999997
5700,177.61348936170214
5720,177.56168085106387
5740,181.16887499999999
5760,181.34989583333336
5780,177.8705
5800,174.20106249999995
5820,174.3570208333333
5840,170.48604081632655
5860,170.46414285714286
5880,170.50008163265306
5900,166.3835652173913
5920,162.7871489361702
5940,162.7056170212766
5960,159.41577083333334
5980,159.44441666666665
6000,159.15346808510637
6020,161.68595348837206
6040,158.15872727272725
6060,162.24204444444445
6080,154.7729574468085
6100,154.67802127659576
6120,148.93877777777783
6140,148.15570454545457
6160,152.6402
6180,149.83978723404255
6200,150.61104166666667
6220,153.5570652173913
6240,153.62878260869564
6260,152.86324444444443
6280,158.1428510638298
6300,162.126875
6320,165.72179166666666
6340,176.46408888888888
6360,176.67925
6380,172.76329166666665
6400,170.954775
6420,162.3527380952381
6440,156.69608510638298
6460,157.06663829787232
6480,157.05006382978723
6500,160.02745652173914
6520,159.60478260869564
6540,167.3365227272727
6560,168.27154347826084
6580,168.20869565217387
6600,168.88354166666667
6620,172.59448936170207
6640,176.5583829787234
6660,172.94647916666668
6680,172.89285106382977
6700,176.8735319148936
6720,176.92774999999997
6740,176.90272916666666
6760,176.65471739130436
6780,177.04091489361699
6800,173.0011063829787
6820,173.07289583333332
6840,173.12995833333332
6860,177.10789583333334
6880,177.1594893617021
6900,181.08940425531918
6920,181.15268085106382
6940,180.91818750000002
6960,181.1753829787234
6980,181.3669574468085
7000,181.36123404255318
7020,177.3721914893617
7040,177.31129166666665
7060,177.51020833333334
7080,177.60572340425531
7100,177.6235319148936
7120,181.50004347826084
7140,177.73465957446808
7160,177.6331875
7180,177.23870833333334
7200,177.20153191489362
7220,173.15197872340423
7240,173.14070212765955
7260,173.30949999999999
7280,173.46964583333332
7300,173.60025
7320,173.56251063829785
7340,173.74195744680853
7360,173.58787500000003
7380,177.09655319148933
7400,176.97981249999998
7420,176.98055319148935
7440,180.90768085106384
7460,180.80382978723406
7480,180.5175
7500,180.63358333333335
7520,180.48514893617025
7540,180.52746808510636
7560,180.87317021276593
7580,180.96385416666666
7600,177.24308333333332
7620,177.10489361702128
7640,175.5781315789474
7660,174.0497
7680,175.17396874999997
7700,177.21207142857142
7720,177.15146808510636
7740,177.17425000000003
7760,177.1080625
7780,177.29617021276593
7800,173.25116666666668
7820,173.28812500000004
7840,173.24243750000002
7860,173.2198723404255
7880,177.1720869565217
7900,181.25130434782608
7920,181.11825
7940,181.03270833333332
7960,181.34729787234042
7980,181.1931489361702
8000,181.20397872340425
8020,180.99329166666666
8040,181.20679166666665
8060,181.10041666666666
8080,181.24247916666664
8100,181.4882978723404
8120,181.51661702127657
8140,181.31997916666668
8160,181.3835625
8180,181.62361702127654
8200,181.51819148936164
8220,177.66899999999998
8240,177.50491666666667
8260,177.40856250000002
8280,177.39104166666667
8300,173.3388723404255
8320,173.0578913043478
8340,173.08300000000003
8360,169.48491666666666
8380,169.46075
8400,173.10189361702126
8420,176.87535555555556
8440,177.45185416666666
8460,181.13144897959182
8480,181.04402040816328
8500,181.16920833333333
8520,181.06872916666666
8540,177.12345833333333
8560,173.28658333333337
8580,173.51793877551023
8600,169.37633999999997
8620,161.8301020408163
8640,165.2071875
8660,169.1166875
8680,165.64088
8700,162.26361224489796
8720,165.03472340425526
8740,156.28352173913044
8760,149.64481250000003
8780,150.94595454545453
8800,150.70155555555556
8820,159.26088235294117
8840,158.12818604651164
8860,171.24783783783784
8880,171.65655263157896
8900,165.9526976744186
8920,156.941
8940,141.0961136363636
8960,133.43906382978722
8980,128.1505918367347
9000,115.11708163265307
9020,109.51896
9040,106.07448000000001
9060,105.43502040816327
9080,114.13108163265305
9100,100.84681632653063
9120,100.84681632653063
9140,101.24925
9160,97.1594
9180,96.00316000000001
9200,94.46185714285716
9220,92.83379166666667
9240,92.8548125
9260,91.08669387755101
9280,104.53155813953488
9300,95.79554347826085
9320,96.28406666666667
9340,66.61673913043478
9360,62.719866666666675
9380,56.61745833333333
9400,54.244489795918355
9420,54.244489795918355
9440,54.244489795918355
9460,53.15959999999999
9480,54.244489795918355
9500,64.31383333333332
9520,89.4076
9540,91.87109523809524
9560,90.23704166666668
9580,90.09490000000001
9600,90.09490000000001
9620,90.09490000000001
9640,90.09490000000001
9660,90.09490000000001
9680,90.09490000000001
9700,72.48591836734694
9720,99.20463265306122
9740,137.7401224489796
9760,137.34614
9780,137.34614
9800,142.70285416666667
9820,153.479875
9840,153.2776595744681
9860,154.09679591836735
9880,154.09679591836735
9900,156.90236170212765
9920,167.1003829787234
9940,177.417693877551
9960,177.30707999999998
9980,177.3646326530612
10000,177.4305306122449
10020,177.85906122448978
10040,181.20213999999996
10060,181.28485999999998
10080,177.82620408163262
10100,177.84330612244898
10120,177.85877551020405
10140,177.56044897959183
10160,177.77273469387754
10180,177.77273469387754
10200,181.3782244897959
10220,181.35406122448975
10240,181.30753061224485
10260,181.18869387755097
10280,181.27199999999996
10300,181.4187551020408
10320,181.42748979591832
10340,181.10795918367344
10360,181.1343265306122
10380,180.93701999999996
10400,180.92959999999997
10420,181.1184489795918
10440,181.11306122448977
10460,181.1665918367347
10480,181.1333469387755
10500,177.30311999999998
10520,177.36908
10540,177.5143469387755
10560,177.47595918367344
10580,177.3989183673469
10600,177.37601999999995
10620,181.18613999999997
10640,181.33799999999997
10660,181.34553061224486
10680,181.40153061224487
10700,181.30902040816324
10720,181.17214
10740,181.41819999999996
10760,181.5604081632653
10780,181.49167346938773
10800,181.42448979591836
10820,177.49967999999998
10840,178.00045999999998
10860,178.0804489795918
10880,178.11781632653063
10900,178.1104081632653
10920,174.4481224489796
10940,177.67458000000002
10960,177.67458000000002
10980,177.70455102040816
11000,177.68908163265306
11020,177.7101224489796
11040,177.58397999999997
11060,177.58397999999997
11080,177.57583999999994
11100,177.66389795918366
11120,177.55887755102037
11140,173.61124489795915
11160,173.58357999999996
11180,173.46808
11200,173.3320408163265
11220,169.44573469387757
11240,165.72679591836734
11260,172.85577083333337
11280,173.40577999999996
11300,169.9897
11320,169.57902083333332
