Time,Risk Score
0,49.06793493430096
300,46.670850581891244
600,40.31575090264297
900,31.59749065331548
1200,23.01401069303696
1500,17.69190799587647
1800,16.088253895014034
2100,19.453273847457346
2400,28.165877409122785
2700,33.38559616060391
3000,29.866509810570356
3300,25.275892421676094
3600,35.31916665674461
3900,31.765165247578658
4200,26.43083217532332
4500,24.046583549201927
4800,22.660047911607162
5100,28.37323671404774
5400,41.558368229614324
5700,39.94178297462639
6000,34.6081234177416
6300,28.9320297784564
6600,23.42372122390464
6900,19.650106081853412
7200,18.740117303592545
7500,20.626152853797514
7800,23.68787804226509
8100,23.996437005051874
8400,20.723223862349705
8700,17.371747455639458
9000,14.49782419645667
9300,42.732949783479036
9600,41.134840658198115
9900,34.877520718121595
10200,27.67475839088189
10500,21.112095725568725
10800,17.542544887772543
11100,16.841522592940724
11400,19.6889413714782
11700,28.78925917089741
12000,31.303002412188906
12300,26.660119263215353
12600,22.654487686793555
12900,32.12639974916246
13200,31.671728602375026
13500,27.50936701257044
13800,26.568329274832784
14100,25.82615433426856
14400,24.189806304092404
14700,23.5486409842763
15000,22.901784084921104
15300,21.75333357028211
15600,22.59390351483967
15900,25.004874961961487
16200,33.97079546940632
16500,35.544007124053394
16800,31.635760615506367
17100,25.233396640648962
17400,19.79638933269922
17700,17.265712310799618
18000,18.42154775960365
18300,22.81268234620276
18600,24.74549559612784
18900,29.095398683009144
19200,32.739009647753
19500,30.38302806647311
19800,29.79105316186495
20100,27.1688811992843
20400,24.775070998245084
20700,21.647068593906017
21000,20.860056358265513
21300,22.953083762839288
21600,24.576811790721703
21900,24.973010132861287
22200,28.190874484198776
22500,31.071874053215463
22800,29.394453490901224
23100,27.589524628421934
23400,27.01221449985915
23700,24.11313923275839
24000,26.90614938643872
24300,36.7459301882554
24600,34.49078005277674
24900,28.807629080091324
25200,23.563073111442694
25500,19.01021672526194
25800,17.532865825935378
26100,17.493123708853037
26400,21.994123134063116
26700,26.59234452881166
27000,26.78056991547225
27300,23.366197954363102
27600,23.536127582332703
27900,29.76245380086475
28200,28.607945712609943
28500,25.908830861812447
28800,25.604054211498433
29100,25.528654310927482
29400,23.1371388455225
29700,22.052589605606624
30000,21.855116151738024
30300,22.156650307758124
30600,21.149287578267867
30900,26.982344926267864
31200,33.830720421300924
31500,33.00692862771718
31800,29.957894023376674
32100,23.92513641655665
32400,19.869784492059548
32700,18.722064925379858
33000,20.415695578622543
33300,23.731238925226794
33600,26.254956816863256
33900,25.345816476307828
