Start,End
520.0,1020.0
4520.0,6560.0
7000.0,7620.0
8560.0,9580.0
23360.0,24540.0
36660.0,37840.0
46960.0,48080.0
53060.0,54040.0
58100.0,59200.0
66620.0,67660.0
77660.0,78700.0
79320.0,79820.0
