Time,Last Pit,Air Temp,Track Temp,Wind Speed,Yellow
20,0.3333333333333333,67.80001999999999,71.00005999999998,1.3,0
40,0.6666666666666666,67.80001999999999,71.00005999999998,1.3,0
60,1.0,67.89992,71.00005999999998,0.6,0
80,1.3333333333333333,67.89992,71.00005999999998,0.6,0
100,1.6666666666666667,67.89992,71.00005999999998,0.6,0
120,2.0,68.0,71.00005999999998,1.9,0
140,2.333333333333333,68.0,71.00005999999998,1.9,0
160,2.6666666666666665,68.0,71.00005999999998,1.9,0
180,3.0,68.0,71.00005999999998,1.3,0
200,3.333333333333333,68.0,71.00005999999998,1.3,0
220,3.6666666666666665,68.0,71.00005999999998,1.3,0
240,4.0,68.10008,71.00005999999998,1.3,0
260,4.333333333333333,68.10008,71.00005999999998,1.3,0
280,4.666666666666667,68.10008,71.00005999999998,1.3,0
300,5.0,68.0,71.00005999999998,3.2,0
320,5.333333333333333,68.0,71.00005999999998,3.2,0
340,5.666666666666668,68.0,71.00005999999998,3.2,0
360,6.0,67.89992,71.00005999999998,2.6,0
380,6.333333333333332,67.89992,71.00005999999998,2.6,0
400,6.666666666666668,67.89992,71.00005999999998,2.6,0
420,7.0,67.80001999999999,71.00005999999998,5.2,0
440,7.333333333333332,67.80001999999999,71.00005999999998,5.2,0
460,7.666666666666668,67.80001999999999,71.00005999999998,5.2,1
480,8.0,67.69994,69.99998000000001,2.6,1
500,8.333333333333334,67.69994,69.99998000000001,2.6,1
520,8.666666666666666,67.69994,69.99998000000001,2.6,1
540,9.0,67.60004,69.99998000000001,2.6,0
560,9.333333333333334,67.60004,69.99998000000001,2.6,0
580,9.666666666666666,67.60004,69.99998000000001,2.6,0
600,10.0,67.40006,69.99998000000001,2.6,0
620,10.333333333333334,67.40006,69.99998000000001,2.6,0
640,10.666666666666666,67.40006,69.99998000000001,2.6,0
660,11.0,67.29998,69.99998000000001,1.9,0
680,11.333333333333336,67.29998,69.99998000000001,1.9,0
700,11.666666666666664,67.29998,69.99998000000001,1.9,0
720,12.0,67.20008,69.99998000000001,2.6,0
740,12.333333333333336,67.20008,69.99998000000001,2.6,0
760,12.666666666666664,67.20008,69.99998000000001,2.6,0
780,13.0,67.1,69.99998000000001,1.9,0
800,13.333333333333336,67.1,69.99998000000001,1.9,0
820,13.666666666666664,67.1,69.99998000000001,1.9,0
840,14.0,66.99991999999999,69.99998000000001,2.6,0
860,14.333333333333336,66.99991999999999,69.99998000000001,2.6,0
880,14.666666666666664,66.99991999999999,69.99998000000001,2.6,0
900,15.0,66.99991999999999,69.99998000000001,3.2,0
920,15.333333333333336,66.99991999999999,69.99998000000001,3.2,0
940,15.666666666666664,66.99991999999999,69.99998000000001,3.2,0
960,16.0,66.99991999999999,69.99998000000001,2.6,0
980,16.333333333333332,66.99991999999999,69.99998000000001,2.6,0
1000,16.666666666666668,66.99991999999999,69.99998000000001,2.6,0
1020,17.0,66.99991999999999,69.99998000000001,1.9,0
1040,17.333333333333332,66.99991999999999,69.99998000000001,1.9,0
1060,17.666666666666668,66.99991999999999,69.99998000000001,1.9,0
1080,18.0,66.99991999999999,69.99998000000001,1.9,0
1100,18.33333333333333,66.99991999999999,69.99998000000001,1.9,0
1120,18.666666666666668,66.99991999999999,69.99998000000001,1.9,0
1140,19.0,66.90002,69.99998000000001,2.6,0
1160,19.33333333333333,66.90002,69.99998000000001,2.6,0
1180,19.666666666666668,66.90002,69.99998000000001,2.6,0
1200,20.0,66.99991999999999,69.99998000000001,3.9,0
1220,20.33333333333333,66.99991999999999,69.99998000000001,3.9,0
1240,20.666666666666668,66.99991999999999,69.99998000000001,3.9,0
1260,21.0,66.99991999999999,69.99998000000001,3.2,0
1280,21.33333333333333,66.99991999999999,69.99998000000001,3.2,0
1300,21.66666666666667,66.99991999999999,69.99998000000001,3.2,0
1320,22.0,66.99991999999999,69.99998000000001,2.6,0
1340,22.33333333333333,66.99991999999999,69.99998000000001,2.6,0
1360,22.66666666666667,66.99991999999999,69.99998000000001,2.6,0
1380,23.0,66.99991999999999,69.99998000000001,3.9,0
1400,23.33333333333333,66.99991999999999,69.99998000000001,3.9,0
1420,23.66666666666667,66.99991999999999,69.99998000000001,3.9,0
1440,24.0,66.90002,69.99998000000001,2.6,0
1460,24.33333333333333,66.90002,69.99998000000001,2.6,0
1480,24.66666666666667,66.90002,69.99998000000001,2.6,0
1500,25.0,66.90002,69.99998000000001,1.3,0
1520,25.33333333333333,66.90002,69.99998000000001,1.3,0
1540,25.66666666666667,66.90002,69.99998000000001,1.3,0
1560,26.0,66.90002,69.99998000000001,1.9,0
1580,26.33333333333333,66.90002,69.99998000000001,1.9,0
1600,26.66666666666667,66.90002,69.99998000000001,1.9,0
1620,27.0,66.90002,69.99998000000001,3.2,0
1640,27.33333333333333,66.90002,69.99998000000001,3.2,0
1660,27.66666666666667,66.90002,69.99998000000001,3.2,0
1680,28.0,66.99991999999999,69.99998000000001,1.9,0
1700,28.33333333333333,66.99991999999999,69.99998000000001,1.9,0
1720,28.66666666666667,66.99991999999999,69.99998000000001,1.9,0
1740,29.0,66.99991999999999,69.99998000000001,3.9,0
1760,29.33333333333333,66.99991999999999,69.99998000000001,3.9,0
1780,29.66666666666667,66.99991999999999,69.99998000000001,3.9,0
1800,30.0,67.1,69.99998000000001,1.9,0
1820,30.33333333333333,67.1,69.99998000000001,1.9,0
1840,30.66666666666667,67.1,69.99998000000001,1.9,0
1860,31.0,67.20008,69.99998000000001,3.2,0
1880,31.33333333333333,67.20008,69.99998000000001,3.2,0
