TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1548531409;26-Jan-19 19:36:49;56.40008;57.00002;58;30.175037384;2.6;211;
1548531469;26-Jan-19 19:37:49;56.40008;57.00002;58;30.177104491;0;134;
1548531529;26-Jan-19 19:38:49;56.40008;57.00002;58;30.174151481;3.9;151;
1548531589;26-Jan-19 19:39:49;56.40008;55.99994;59;30.173265578;3.2;132;
1548531649;26-Jan-19 19:40:49;56.40008;55.99994;59;30.171198471;5.2;148;
1548531709;26-Jan-19 19:41:49;56.3;55.99994;59;30.171198471;5.2;233;
1548531769;26-Jan-19 19:42:49;56.19992;55.99994;59;30.174151481;4.6;122;
1548531829;26-Jan-19 19:43:49;56.19992;55.99994;59;30.175037384;1.3;209;
1548531889;26-Jan-19 19:44:49;56.10002;55.99994;59;30.175037384;4.6;182;
1548531950;26-Jan-19 19:45:50;56.10002;55.99994;59;30.174151481;4.6;154;
1548532010;26-Jan-19 19:46:50;56.10002;55.99994;59;30.176218588;3.2;169;
1548532070;26-Jan-19 19:47:50;56.10002;55.99994;59;30.175037384;2.6;201;
1548532130;26-Jan-19 19:48:50;56.10002;55.99994;59;30.174151481;1.9;183;
1548532190;26-Jan-19 19:49:50;56.10002;55.99994;59;30.173265578;3.9;115;
1548532250;26-Jan-19 19:50:50;56.10002;55.99994;59;30.174151481;2.6;178;
1548532310;26-Jan-19 19:51:50;56.10002;55.99994;59;30.174151481;5.9;164;
1548532370;26-Jan-19 19:52:50;55.99994;55.99994;59;30.174151481;0.6;265;
1548532430;26-Jan-19 19:53:50;55.99994;55.99994;59;30.175037384;0;240;
1548532490;26-Jan-19 19:54:50;55.99994;55.99994;60;30.177990394;1.3;165;
1548532550;26-Jan-19 19:55:50;56.10002;55.99994;60;30.177104491;2.6;165;
1548532611;26-Jan-19 19:56:51;56.10002;55.99994;60;30.177104491;2.6;161;
1548532671;26-Jan-19 19:57:51;56.10002;55.99994;60;30.177104491;5.2;174;
1548532731;26-Jan-19 19:58:51;56.10002;55.99994;60;30.177104491;5.9;145;
1548532791;26-Jan-19 19:59:51;55.99994;55.99994;60;30.176218588;1.9;153;
1548532851;26-Jan-19 20:00:51;55.99994;55.99994;60;30.175037384;3.9;161;
