Time,Sus Deriv
600,0.0
1200,0.0
1800,-0.0004166666666666667
2400,-0.007916666666666667
3000,-0.00875
3600,0.16333333333333333
4200,-0.0020833333333333333
4800,-0.00625
5400,0.21666666666666667
6000,-0.002916666666666667
6600,0.03625
7200,-0.002916666666666667
7800,0.21583333333333332
8400,-0.00125
9000,0.2604166666666667
9600,0.37333333333333335
10200,0.8470833333333333
10800,0.05
11400,0.165
12000,0.3279166666666667
12600,0.1625
13200,0.04083333333333333
13800,0.16416666666666666
14400,-0.005
15000,0.6320833333333333
15600,-0.002916666666666667
16200,-0.00875
16800,-0.006666666666666667
17400,-0.0025
18000,-0.0020833333333333333
18600,1.12125
19200,0.54625
19800,-0.0008333333333333334
20400,-0.0020833333333333333
21000,0.15083333333333335
21600,-0.0008333333333333334
22200,-0.00125
22800,-0.0025
23400,-0.008333333333333333
24000,0.04541666666666667
24600,0.1625
25200,0.16333333333333333
25800,0.16
26400,-0.0016666666666666668
27000,0.21208333333333335
27600,0.20875
28200,-0.005
28800,-0.0016666666666666668
29400,-0.0025
30000,-0.005416666666666667
30600,-0.006666666666666667
31200,0.16166666666666665
31800,0.16375
32400,-0.004583333333333333
33000,0.04666666666666667
33600,-0.004583333333333333
34200,0.045
34800,-0.006666666666666667
35400,0.48041666666666666
36000,0.39708333333333334
36600,1.0058333333333334
37200,0.23333333333333334
37800,0.09958333333333333
38400,0.04791666666666667
39000,-0.006666666666666667
39600,-0.002916666666666667
40200,0.0925
40800,0.165
41400,0.09458333333333334
42000,-0.0020833333333333333
42600,-0.0008333333333333334
43200,-0.010833333333333334
43800,0.16125
44400,0.049166666666666664
45000,-0.0025
45600,0.16291666666666665
46200,0.29083333333333333
46800,-0.004166666666666667
47400,0.04833333333333333
48000,-0.0033333333333333335
48600,-0.0025
49200,0.16208333333333333
49800,0.3254166666666667
50400,-0.004583333333333333
51000,0.14875
51600,-0.00375
52200,-0.00375
52800,0.043333333333333335
53400,0.21125
54000,0.3325
54600,0.17958333333333334
55200,0.6708333333333333
55800,1.1658333333333333
56400,0.21583333333333332
57000,0.049166666666666664
57600,-0.00375
58200,-0.002916666666666667
58800,0.15541666666666668
59400,0.04875
60000,0.04625
60600,0.13208333333333333
61200,-0.0008333333333333334
61800,-0.01
62400,0.16083333333333333
63000,0.29875
63600,0.33166666666666667
64200,0.2658333333333333
64800,0.6708333333333333
65400,-0.0020833333333333333
66000,0.8158333333333333
66600,0.16458333333333333
67200,-0.0033333333333333335
67800,0.165
68400,-0.008333333333333333
69000,-0.0025
69600,0.04625
70200,-0.0033333333333333335
70800,-0.00125
71400,0.21083333333333334
72000,0.16
72600,-0.002916666666666667
73200,-0.0016666666666666668
73800,-0.0020833333333333333
74400,-0.004583333333333333
75000,0.042916666666666665
75600,0.16291666666666665
76200,-0.0016666666666666668
76800,0.16416666666666666
77400,0.16208333333333333
78000,-0.005
78600,-0.004583333333333333
79200,-0.0025
79800,-0.002916666666666667
80400,0.04666666666666667
81000,-0.005416666666666667
81600,-0.00375
82200,0.04625
82800,-0.002916666666666667
83400,0.16458333333333333
84000,0.20916666666666667
84600,0.39458333333333334
85200,0.09916666666666667
85800,0.3491666666666667
86400,-0.0004166666666666667
