,Time,Risk Score,Sus Deriv,Flag
0,300,36.90776544873624,0.0,0
1,600,31.67472229131507,0.0,0
2,900,24.669784315624156,0.0,0
3,1200,17.869248318927873,0.0,0
4,1500,13.23710397672354,0.0,0
5,1800,12.209613329936454,0.0,0
6,2100,19.80692742772398,-0.006666666666666667,0
7,2400,25.336461801040567,-0.005,0
8,2700,24.530366014911504,0.0,0
9,3000,28.45853999142919,-0.0125,0
10,3300,29.477397293479005,-0.0075,0
11,3600,24.483082508953657,0.0,0
12,3900,19.799465547811714,0.0,0
13,4200,18.949881794134328,-0.0033333333333333327,0
14,4500,20.55365648664993,-0.0058333333333333345,0
15,4800,19.942072225209483,-0.0016666666666666668,0
16,5100,19.396631338586122,0.0,0
17,5400,19.81977641422334,-0.0008333333333333334,0
18,5700,18.721330332626714,0.0,0
19,6000,20.349381029865302,-0.0058333333333333345,0
20,6300,26.465684817581664,-0.010833333333333334,0
21,6600,30.499829824143983,-0.008333333333333333,0
22,6900,30.03457033946241,0.3283333333333333,0
23,7200,24.81923180644889,-0.0008333333333333334,0
24,7500,19.23425061196676,0.0,0
25,7800,15.396869707234245,0.0,0
26,8100,14.708930565810327,-0.0008333333333333334,0
27,8400,16.582745516063348,-0.0008333333333333334,0
28,8700,19.888498114124406,-0.0025,0
29,9000,23.669357617248078,-0.0058333333333333345,0
30,9300,27.64724140953692,-0.009166666666666668,0
31,9600,28.696386826573743,-0.006666666666666667,0
32,9900,27.604313377477244,-0.005,0
33,10200,23.078290341838326,-0.0008333333333333334,0
34,10500,18.49773390069679,0.0,0
35,10800,17.23908380280212,-0.0025,0
36,11100,18.484610862189623,-0.0033333333333333327,0
37,11400,21.785626657997607,-0.005,0
38,11700,21.43908969599337,0.0,0
39,12000,22.45406476299849,0.33,0
40,12300,23.515186292250927,-0.005,0
41,12600,25.591846847163684,0.66,0
42,12900,24.62630172390556,-0.0033333333333333327,0
43,13200,23.90636538901521,-0.0033333333333333327,0
44,13500,23.33257028357151,-0.0041666666666666675,0
45,13800,22.612376413912802,-0.0041666666666666675,0
46,14100,19.277013636728352,0.0,0
47,14400,18.301981509630615,-0.0016666666666666668,0
48,14700,19.396676703452247,-0.0025,0
49,15000,19.688674460267226,-0.0016666666666666668,0
50,15300,21.034865447755546,-0.0033333333333333327,0
51,15600,23.339469654296888,-0.0058333333333333345,0
52,15900,27.026291867799788,-0.008333333333333333,0
53,16200,26.989983170998286,-0.005,0
54,16500,24.10659066642648,0.3316666666666667,0
55,16800,23.065489250261468,-0.0041666666666666675,0
56,17100,20.008988157859033,-0.0008333333333333334,0
57,17400,17.528025125195278,0.0,0
58,17700,21.601344265017968,0.5275,0
59,18000,29.96343049840442,0.0875,0
60,18300,33.82977714685211,0.8591666666666666,0
61,18600,28.539983871351023,0.0,0
62,18900,22.168658137952992,0.0,0
63,19200,16.511464107744054,0.0,0
64,19500,13.207704739764381,0.0,0
65,19800,13.805639367958614,-0.0008333333333333334,0
66,20100,16.567350592942127,-0.0008333333333333334,0
67,20400,23.47693670889145,-0.0075,0
68,20700,24.685622520726813,-0.0033333333333333327,0
69,21000,21.056712598891462,-0.0008333333333333334,0
70,21300,22.787547741175505,-0.008333333333333333,0
71,21600,26.9992040338075,0.325,0
72,21900,24.452871157973753,-0.0016666666666666668,0
73,22200,21.10841218326036,-0.0008333333333333334,0
74,22500,20.038465988573254,-0.0033333333333333327,0
75,22800,19.79487038678872,-0.0041666666666666675,0
76,23100,19.213968370543267,-0.0025,0
77,23400,18.690847762565905,-0.0008333333333333334,0
78,23700,18.47982569907571,0.0,0
79,24000,19.007747017520124,-0.0016666666666666668,0
80,24300,19.4970194056366,-0.0033333333333333327,0
81,24600,20.49957943198689,-0.005,0
82,24900,26.894659363021184,-0.011666666666666669,0
83,25200,25.68742724321167,-0.0033333333333333327,0
84,25500,21.51895740635744,-0.0008333333333333334,0
85,25800,16.921375286630088,0.0,0
86,26100,13.658170558035893,0.0,0
87,26400,14.177165167415755,-0.0016666666666666668,0
88,26700,16.175564008841242,-0.0025,0
89,27000,20.535635998857874,-0.005,0
90,27300,22.163551363263515,-0.0033333333333333327,1
91,27600,25.64688374179718,-0.0075,1
92,27600,25.64688374179718,-0.0075,0
93,27900,25.73279731726553,-0.0058333333333333345,1
94,27900,25.73279731726553,-0.0058333333333333345,0
95,28200,24.105558290241774,0.0975,0
96,28500,24.449196744209946,0.6641666666666667,0
97,28800,28.18003394686848,0.9275,0
98,29100,24.036931593660604,0.6,0
99,29400,19.86235478887608,0.3333333333333333,0
100,29700,17.20441730734303,0.1,0
101,30000,16.048990795355532,-0.0008333333333333334,0
102,30300,16.17105760695297,-0.0008333333333333334,0
103,30600,16.371466783470815,0.0,0
104,30900,18.28680018824821,-0.0033333333333333327,0
105,31200,21.83359001725048,-0.006666666666666667,0
106,31500,22.353393319686127,-0.0033333333333333327,0
107,31800,24.127884890230252,-0.006666666666666667,0
108,32100,25.84973402861597,-0.006666666666666667,0
109,32400,23.57283195887825,-0.0025,0
110,32700,20.429182393775346,-0.0016666666666666668,0
111,33000,17.137003707148267,0.0,0
112,33300,19.0765289073542,-0.0058333333333333345,0
113,33600,18.69728181161688,-0.0016666666666666668,0
114,33900,18.071814244789696,0.0,0
115,34200,17.64719505893162,0.0,0
116,34500,20.049069344118568,-0.005,0
117,34800,21.6507642627986,-0.005,0
118,35100,22.478044916541506,-0.005,0
119,35400,25.320899370610828,-0.0075,0
120,35700,25.794311369183163,-0.0058333333333333345,1
121,36000,21.57539654662272,-0.0008333333333333334,1
