Time,Sus Deriv
300,0.0
600,0.0
900,0.0
1200,0.0
1500,0.0
1800,0.0
2100,-0.006666666666666667
2400,-0.005
2700,0.0
3000,-0.0125
3300,-0.0075
3600,0.0
3900,0.0
4200,-0.0033333333333333335
4500,-0.005833333333333334
4800,-0.0016666666666666668
5100,0.0
5400,-0.0008333333333333334
5700,0.0
6000,-0.005833333333333334
6300,-0.010833333333333334
6600,-0.008333333333333333
6900,0.3283333333333333
7200,-0.0008333333333333334
7500,0.0
7800,0.0
8100,-0.0008333333333333334
8400,-0.0008333333333333334
8700,-0.0025
9000,-0.005833333333333334
9300,-0.009166666666666667
9600,-0.006666666666666667
9900,-0.005
10200,-0.0008333333333333334
10500,0.0
10800,-0.0025
11100,-0.0033333333333333335
11400,-0.005
11700,0.0
12000,0.33
12300,-0.005
12600,0.66
12900,-0.0033333333333333335
13200,-0.0033333333333333335
13500,-0.004166666666666667
13800,-0.004166666666666667
14100,0.0
14400,-0.0016666666666666668
14700,-0.0025
15000,-0.0016666666666666668
15300,-0.0033333333333333335
15600,-0.005833333333333334
15900,-0.008333333333333333
16200,-0.005
16500,0.33166666666666667
16800,-0.004166666666666667
17100,-0.0008333333333333334
17400,0.0
17700,0.5275
18000,0.0875
18300,0.8591666666666666
18600,0.0
18900,0.0
19200,0.0
19500,0.0
19800,-0.0008333333333333334
20100,-0.0008333333333333334
20400,-0.0075
20700,-0.0033333333333333335
21000,-0.0008333333333333334
21300,-0.008333333333333333
21600,0.325
21900,-0.0016666666666666668
22200,-0.0008333333333333334
22500,-0.0033333333333333335
22800,-0.004166666666666667
23100,-0.0025
23400,-0.0008333333333333334
23700,0.0
24000,-0.0016666666666666668
24300,-0.0033333333333333335
24600,-0.005
24900,-0.011666666666666667
25200,-0.0033333333333333335
25500,-0.0008333333333333334
25800,0.0
26100,0.0
26400,-0.0016666666666666668
26700,-0.0025
27000,-0.005
27300,-0.0033333333333333335
27600,-0.0075
27900,-0.005833333333333334
28200,0.0975
28500,0.6641666666666667
28800,0.9275
29100,0.6
29400,0.3333333333333333
29700,0.1
30000,-0.0008333333333333334
30300,-0.0008333333333333334
30600,0.0
30900,-0.0033333333333333335
31200,-0.006666666666666667
31500,-0.0033333333333333335
31800,-0.006666666666666667
32100,-0.006666666666666667
32400,-0.0025
32700,-0.0016666666666666668
33000,0.0
33300,-0.005833333333333334
33600,-0.0016666666666666668
33900,0.0
34200,0.0
34500,-0.005
34800,-0.005
35100,-0.005
35400,-0.0075
35700,-0.005833333333333334
36000,-0.0008333333333333334
36300,0.0
36600,-0.0008333333333333334
36900,0.5958333333333333
37200,0.31833333333333336
37500,0.33166666666666667
37800,0.1
38100,0.0
38400,0.0
38700,-0.0008333333333333334
39000,0.0
39300,-0.005
39600,-0.005833333333333334
39900,-0.0008333333333333334
40200,-0.0025
40500,-0.013333333333333334
40800,-0.0008333333333333334
41100,0.3325
41400,-0.0033333333333333335
41700,-0.005
42000,-0.0016666666666666668
42300,0.0
42600,0.0
42900,-0.0008333333333333334
43200,-0.0033333333333333335
43500,-0.009166666666666667
43800,-0.010833333333333334
44100,-0.004166666666666667
44400,0.0
44700,0.4325
45000,0.0
45300,0.0
45600,-0.0025
45900,-0.0033333333333333335
46200,-0.004166666666666667
46500,-0.005
46800,-0.009166666666666667
47100,-0.004166666666666667
47400,0.09916666666666667
47700,0.265
48000,-0.0033333333333333335
48300,-0.0025
48600,0.09833333333333333
48900,0.0
49200,0.3333333333333333
49500,-0.006666666666666667
49800,-0.0033333333333333335
50100,-0.009166666666666667
50400,-0.006666666666666667
50700,-0.0008333333333333334
51000,-0.0016666666666666668
51300,-0.0008333333333333334
51600,-0.0016666666666666668
51900,0.0
52200,-0.0025
52500,-0.005833333333333334
52800,-0.005
53100,-0.005
53400,-0.0033333333333333335
53700,-0.005
54000,-0.0016666666666666668
54300,-0.0016666666666666668
54600,-0.0025
54900,-0.0025
55200,-0.0008333333333333334
55500,-0.0033333333333333335
55800,-0.005833333333333334
56100,-0.0016666666666666668
56400,-0.006666666666666667
56700,-0.0033333333333333335
57000,-0.004166666666666667
57300,-0.0016666666666666668
57600,-0.0033333333333333335
57900,0.3308333333333333
58200,0.0
58500,-0.0016666666666666668
58800,-0.005
59100,-0.0025
59400,-0.005
59700,-0.0075
60000,0.3308333333333333
60300,-0.0016666666666666668
60600,0.26666666666666666
60900,-0.0033333333333333335
61200,-0.0016666666666666668
61500,-0.0033333333333333335
61800,-0.004166666666666667
62100,-0.005
62400,0.3283333333333333
62700,-0.0008333333333333334
63000,-0.006666666666666667
63300,-0.0008333333333333334
63600,-0.0016666666666666668
63900,-0.004166666666666667
64200,-0.0025
