Time,Sus Deriv
0,0
600,200
1200,200
1800,230
2400,327.75
3000,625.25
3600,719.0
4200,818.5
4800,817.25
5400,1329.25
6000,1788.25
6600,2108.0
7200,2208.0
7800,2207.25
8400,2206.5
9000,2205.5
9600,3176.0
10200,3376.0
10800,3375.75
11400,3375.5
12000,3401.5
12600,3480.5
13200,3704.75
13800,3733.25
14400,3811.25
15000,3840.75
15600,3839.75
16200,3933.25
16800,3930.5
17400,3930.5
18000,3929.75
18600,3927.75
19200,4082.5
19800,4179.75
20400,4177.75
21000,4277.0
21600,4305.25
22200,4302.25
22800,4498.75
23400,4596.5
24000,4784.25
24600,5309.75
25200,5539.75
25800,5539.5
26400,5538.25
27000,5565.5
27600,5593.25
28200,5589.0
28800,5717.25
29400,5815.5
30000,5815.0
30600,5814.0
31200,5907.25
31800,5904.75
32400,6004.5
33000,6003.25
33600,6001.25
34200,6078.25
34800,6074.75
35400,6103.5
36000,6101.75
36600,6200.25
37200,6199.5
37800,6772.5
38400,6882.0
39000,6912.0
39600,6910.75
40200,6908.0
40800,6907.25
41400,6931.0
42000,7030.0
42600,7217.5
43200,7347.0
43800,7346.0
44400,7442.0
45000,7568.25
45600,7567.25
46200,7666.25
46800,7763.75
47400,7861.5
48000,8467.75
48600,8596.75
49200,8596.75
49800,8595.0
50400,8591.75
51000,8820.25
51600,8975.75
52200,9054.0
52800,9132.75
53400,9132.75
54000,9476.0
54600,9674.5
55200,9674.5
55800,9673.5
56400,9670.75
57000,9670.25
57600,9694.5
58200,9792.25
58800,10121.25
59400,10516.5
60000,10516.25
60600,10516.0
61200,10513.25
61800,10511.0
62400,10617.0
63000,10615.75
63600,10643.0
64200,10642.25
64800,10641.5
65400,10640.0
66000,10733.5
66600,10832.25
67200,10980.75
67800,11206.5
68400,11286.25
69000,11285.5
69600,11283.5
70200,11281.0
70800,11308.25
71400,11405.5
72000,11433.75
72600,11432.5
73200,11431.0
73800,11430.0
74400,11524.75
75000,11522.75
75600,11582.75
76200,11581.5
76800,11578.75
77400,11635.5
78000,11733.75
78600,12740.5
79200,12969.5
79800,12969.0
80400,12998.25
81000,12996.0
81600,13173.25
82200,13170.75
82800,13198.0
83400,13366.25
84000,13393.5
84600,13581.5
85200,13610.5
85800,13720.25
86400,13799.75
