,Time,Risk Score,Sus Deriv,Flag
0,300,46.67085058189125,0.3333333333333333,0
1,600,40.31575090264297,0.3333333333333333,0
2,900,31.597490653315482,0.0,0
3,1200,23.014010693036962,0.0,0
4,1500,17.69190799587647,0.1,0
5,1800,16.088253895014034,0.0,0
6,2100,19.453273847457343,-0.0008333333333333334,0
7,2400,28.165877409122785,0.32666666666666666,0
8,2700,33.38559616060391,0.9925,0
9,3000,29.86650981057036,-0.0008333333333333334,0
10,3300,25.275892421676094,0.33,0
11,3600,35.319166656744606,-0.0175,0
12,3900,31.765165247578654,0.3316666666666667,0
13,4200,26.43083217532332,0.0,0
14,4500,24.04658354920193,-0.0025,0
15,4800,22.660047911607162,-0.0016666666666666668,0
16,5100,28.37323671404774,1.2908333333333333,0
17,5400,41.55836822961432,0.4158333333333333,0
18,5700,39.94178297462639,1.1975,0
19,6000,34.6081234177416,0.3325,0
20,6300,28.932029778456396,0.5325,0
21,6600,23.42372122390464,0.5333333333333333,0
22,6900,19.650106081853405,0.3333333333333333,0
23,7200,18.740117303592545,0.0,0
24,7500,20.626152853797514,-0.0008333333333333334,0
25,7800,23.68787804226509,-0.0016666666666666668,0
26,8100,23.996437005051874,-0.0016666666666666668,0
27,8400,20.723223862349702,-0.0008333333333333334,0
28,8700,17.371747455639458,-0.0016666666666666668,0
29,9000,14.497824196456671,-0.0016666666666666668,0
30,9300,42.732949783479036,1.5708333333333333,0
31,9600,41.134840658198115,1.6641666666666666,0
32,9900,34.877520718121595,0.3333333333333333,0
33,10200,27.67475839088189,0.3333333333333333,0
34,10500,21.112095725568725,0.0,0
35,10800,17.542544887772547,-0.0008333333333333334,0
36,11100,16.841522592940724,0.0,0
37,11400,19.6889413714782,-0.0008333333333333334,0
38,11700,28.789259170897413,0.09083333333333334,0
39,12000,31.303002412188906,-0.0041666666666666675,0
40,12300,26.660119263215357,0.0,0
41,12600,22.654487686793555,0.2633333333333333,0
42,12900,32.12639974916246,0.085,0
43,13200,31.671728602375026,0.6625,0
44,13500,27.509367012570443,-0.0008333333333333334,0
45,13800,26.568329274832788,0.09583333333333334,0
46,14100,25.826154334268562,0.2625,0
47,14400,24.189806304092407,-0.0025,0
48,14700,23.5486409842763,0.09916666666666668,0
49,15000,22.901784084921108,-0.0008333333333333334,0
50,15300,21.753333570282113,0.0,0
51,15600,22.593903514839674,-0.0033333333333333327,0
52,15900,25.004874961961487,-0.006666666666666667,0
53,16200,33.97079546940632,0.31833333333333336,0
54,16500,35.544007124053394,-0.006666666666666667,0
55,16800,31.635760615506374,-0.0025,0
56,17100,25.233396640648962,0.0,0
57,17400,19.796389332699217,0.0,0
58,17700,17.265712310799618,-0.0008333333333333334,0
59,18000,18.421547759603648,-0.0016666666666666668,0
60,18300,22.81268234620276,-0.0041666666666666675,0
61,18600,24.74549559612784,-0.0025,0
62,18900,29.095398683009144,0.25916666666666666,0
63,19200,32.739009647753,0.25666666666666665,0
64,19500,30.383028066473106,0.33,0
65,19800,29.791053161864948,-0.0058333333333333345,0
66,20100,27.1688811992843,-0.0033333333333333327,0
67,20400,24.775070998245088,-0.0033333333333333327,0
68,20700,21.647068593906017,0.3325,0
69,21000,20.860056358265517,-0.0016666666666666668,0
70,21300,22.953083762839288,-0.0033333333333333327,0
71,21600,24.576811790721703,0.0975,0
72,21900,24.97301013286129,-0.0025,0
73,22200,28.190874484198776,-0.0075,0
74,22500,31.071874053215467,-0.008333333333333333,1
75,22800,29.394453490901228,0.6633333333333333,1
76,22800,29.394453490901228,0.6633333333333333,0
77,23100,27.58952462842193,0.33,1
78,23100,27.58952462842193,0.33,0
79,23400,27.012214499859148,-0.0041666666666666675,0
80,23700,24.11313923275839,-0.0016666666666666668,0
81,24000,26.906149386438717,0.6275,0
82,24300,36.7459301882554,1.6541666666666666,0
83,24600,34.490780052776735,0.0975,0
84,24900,28.807629080091324,0.6666666666666666,0
85,25200,23.56307311144269,0.1,0
86,25500,19.01021672526194,0.0,0
87,25800,17.532865825935378,-0.0008333333333333334,0
88,26100,17.493123708853034,0.0,0
89,26400,21.99412313406312,-0.0041666666666666675,0
90,26700,26.592344528811658,0.09416666666666666,0
91,27000,26.78056991547225,-0.0033333333333333327,0
92,27300,23.36619795436311,-0.0016666666666666668,0
93,27600,23.536127582332703,0.09416666666666666,0
94,27900,29.762453800864748,-0.010833333333333334,0
95,28200,28.607945712609943,-0.0033333333333333327,0
96,28500,25.908830861812447,0.3316666666666667,0
97,28800,25.604054211498433,0.09583333333333334,0
98,29100,25.528654310927482,-0.005,0
99,29400,23.1371388455225,0.3325,0
100,29700,22.052589605606624,-0.0008333333333333334,0
101,30000,21.855116151738024,-0.0008333333333333334,0
102,30300,22.156650307758127,-0.0016666666666666668,0
103,30600,21.149287578267867,-0.0016666666666666668,0
104,30900,26.982344926267864,-0.010833333333333334,0
105,31200,33.830720421300924,0.32166666666666666,0
106,31500,33.00692862771718,-0.005,0
107,31800,29.957894023376674,-0.0033333333333333327,0
108,32100,23.92513641655665,0.3333333333333333,0
109,32400,19.869784492059548,-0.0008333333333333334,0
110,32700,18.722064925379854,-0.0016666666666666668,0
111,33000,20.415695578622547,-0.0025,0
112,33300,23.731238925226798,-0.0033333333333333327,0
113,33600,26.254956816863256,-0.0033333333333333327,0
114,33900,25.345816476307824,-0.0025,0
115,34200,27.26473318094925,0.25916666666666666,0
116,34500,30.235422722861923,-0.008333333333333333,0
117,34800,28.37317113617902,-0.0033333333333333327,0
118,35100,26.401401839558243,-0.0033333333333333327,0
