Time,Max Concentration,Last Pit,Air Temp,Track Temp,Humidity,Pressure,Wind Speed,Speed,Yellow
20.0,27.40774154499723,0.3333333333333333,71.90006,78.00008000000003,62,30.269238403000003,2.6,180.3258157894737,0
40.0,22.61586389773107,0.6666666666666666,71.90006,78.00008000000003,62,30.269238403000003,2.6,180.3258157894737,0
60.0,12.329931972789115,1.0,71.99996,78.00008000000003,62,30.269238403000003,2.6,180.3258157894737,0
80.0,20.322354590049056,1.3333333333333333,71.99996,78.00008000000003,62,30.269238403000003,2.6,180.3258157894737,0
100.0,11.667810569663693,1.6666666666666667,71.99996,78.00008000000003,62,30.269238403000003,2.6,179.93675675675675,0
120.0,10.66098081023454,2.0,72.10004,78.00008000000003,62,30.268057199,3.2,180.7426,0
140.0,22.839784620831022,2.333333333333333,72.10004,78.00008000000003,62,30.268057199,3.2,179.49807894736838,0
160.0,18.658087715628128,2.6666666666666665,72.10004,78.00008000000003,62,30.268057199,3.2,179.49807894736838,0
180.0,9.110021023125439,3.0,72.19994,78.00008000000003,62,30.267171296,5.2,179.49807894736838,0
200.0,9.110021023125439,3.333333333333333,72.19994,78.00008000000003,62,30.267171296,5.2,179.55663157894736,0
220.0,7.549759780370625,3.6666666666666665,72.19994,78.00008000000003,62,30.267171296,5.2,179.44260526315784,0
240.0,14.274865388019393,4.0,72.19994,78.00008000000003,62,30.265990092,2.6,179.91823684210533,0
260.0,11.873328546308803,4.333333333333333,72.19994,78.00008000000003,62,30.265990092,2.6,179.91823684210533,0
280.0,10.742535351422255,4.666666666666667,72.19994,78.00008000000003,62,30.265990092,2.6,179.91823684210533,0
300.0,6.863417982155112,5.0,72.30001999999998,78.00008000000003,62,30.265990092,1.9,179.96542105263157,0
320.0,7.002801120448179,5.333333333333333,72.30001999999998,78.00008000000003,62,30.265990092,1.9,179.94278947368423,0
340.0,11.99088692593629,5.666666666666668,72.30001999999998,78.00008000000003,62,30.265990092,1.9,179.9375,0
360.0,13.13287615697784,6.0,72.39992,78.00008000000003,62,30.265990092,5.2,179.90771052631575,0
380.0,10.177138753978976,6.333333333333332,72.39992,78.00008000000003,62,30.265990092,5.2,179.90771052631575,0
400.0,5.490734385724091,6.666666666666668,72.39992,78.00008000000003,62,30.265990092,5.2,179.95502631578944,0
420.0,7.708479327259988,7.0,72.39992,78.00008000000003,61,30.267171296,7.9,179.95521052631577,0
440.0,7.422930001770084,7.333333333333332,72.39992,78.00008000000003,61,30.267171296,7.9,179.60484210526315,0
460.0,8.564919232811635,7.666666666666668,72.39992,78.00008000000003,61,30.267171296,7.9,179.39397368421055,0
480.0,10.848897694894736,8.0,72.30001999999998,80.00005999999998,61,30.265990092,9.8,179.39397368421055,0
500.0,10.177138753978976,8.333333333333334,72.30001999999998,80.00005999999998,61,30.265990092,9.8,179.24002631578946,0
520.0,7.422930001770084,8.666666666666666,72.30001999999998,80.00005999999998,61,30.265990092,9.8,179.1645263157895,0
540.0,6.219362571876043,9.0,72.10004,80.00005999999998,61,30.265104189000002,8.5,179.29839473684208,0
560.0,5.330490405117272,9.333333333333334,72.10004,80.00005999999998,61,30.265104189000002,8.5,179.26836842105263,0
580.0,9.135913848332413,9.666666666666666,72.10004,80.00005999999998,61,30.265104189000002,8.5,179.26836842105263,0
600.0,7.350155766762595,10.0,72.10004,80.00005999999998,62,30.265104189000002,4.6,179.33902631578945,0
620.0,7.422930001770084,10.333333333333334,72.10004,80.00005999999998,62,30.265104189000002,4.6,179.31742105263154,0
640.0,7.708479327259988,10.666666666666666,72.10004,80.00005999999998,62,30.265104189000002,4.6,179.50552631578944,0
660.0,5.138951539686982,11.0,72.10004,80.00005999999998,62,30.264218286,5.2,179.488,0
680.0,5.138951539686982,11.333333333333336,72.10004,80.00005999999998,62,30.264218286,5.2,179.5009210526316,0
700.0,7.993924617290856,11.666666666666664,72.10004,80.00005999999998,62,30.264218286,5.2,179.668,0
720.0,8.564919232811635,12.0,72.10004,80.00005999999998,62,30.263037081999997,5.2,179.66805263157897,0
740.0,8.480948961649148,12.333333333333336,72.10004,80.00005999999998,62,30.263037081999997,5.2,179.46963157894737,0
760.0,4.8043925875085804,12.666666666666664,72.10004,80.00005999999998,62,30.263037081999997,5.2,179.38802631578946,0
780.0,6.3069376313945344,13.0,72.19994,80.00005999999998,62,30.262151179,3.2,179.12089473684208,0
800.0,9.135913848332413,13.333333333333336,72.19994,80.00005999999998,62,30.262151179,3.2,179.10868421052632,0
820.0,10.277903079373964,13.666666666666664,72.19994,80.00005999999998,62,30.262151179,3.2,179.14107894736838,0
840.0,9.611742156535703,14.0,72.30001999999998,80.00005999999998,62,30.261265276,4.6,179.17247368421056,0
860.0,7.0077084793272615,14.333333333333336,72.30001999999998,80.00005999999998,62,30.261265276,4.6,179.25286842105263,0
880.0,7.708479327259988,14.666666666666664,72.30001999999998,80.00005999999998,62,30.261265276,4.6,179.1265,0
900.0,5.863539445628997,15.0,72.39992,80.00005999999998,62,30.259198169,5.9,179.37889473684208,0
920.0,14.274865388019393,15.333333333333336,72.39992,80.00005999999998,62,30.259198169,5.9,179.38978947368423,0
940.0,13.004121741195359,15.666666666666664,72.39992,80.00005999999998,62,30.259198169,5.9,179.44347368421055,0
960.0,6.720430107526883,16.0,72.30001999999998,80.00005999999998,61,30.259198169,4.6,179.49521052631582,0
980.0,8.403361344537815,16.333333333333332,72.30001999999998,80.00005999999998,61,30.259198169,4.6,179.28621052631576,0
1000.0,9.06183368869936,16.666666666666668,72.30001999999998,80.00005999999998,61,30.259198169,4.6,179.18592105263156,0
