Time,Max Concentration,Last Pit,Yellow
20.0,30.833709238121887,0.3333333333333333,0
40.0,19.788880910514678,0.6666666666666666,0
60.0,22.615863897731067,1.0,0
80.0,24.40677966101695,1.3333333333333333,0
100.0,17.844886753603298,1.6666666666666667,0
120.0,11.194029850746267,2.0,0
140.0,25.123763082914127,2.333333333333333,0
160.0,18.092691118184852,2.6666666666666665,0
180.0,10.177138753978976,3.0,0
200.0,14.015416958654521,3.333333333333333,0
220.0,8.922443376801649,3.6666666666666665,0
240.0,12.260127931769723,4.0,0
260.0,15.416854619060944,4.333333333333333,0
280.0,15.831104728411743,4.666666666666667,0
300.0,9.110021023125439,5.0,0
320.0,11.91310441485634,5.333333333333333,0
340.0,8.528784648187633,5.666666666666668,0
360.0,16.558843850102495,6.0,0
380.0,11.307931948865534,6.333333333333332,0
400.0,9.046345559092424,6.666666666666668,0
420.0,6.779661016949151,7.0,1
440.0,6.929637526652452,7.333333333333332,1
460.0,11.99088692593629,7.666666666666668,1
480.0,12.561881541457064,8.0,1
500.0,10.742535351422255,8.333333333333334,0
520.0,6.3069376313945344,8.666666666666666,0
540.0,6.3069376313945344,9.0,0
560.0,10.848897694894736,9.333333333333334,0
580.0,11.419892310415511,9.666666666666666,0
600.0,11.873328546308805,10.0,0
620.0,9.408602150537632,10.333333333333334,0
640.0,12.096774193548384,10.666666666666666,0
660.0,12.203389830508476,11.0,0
680.0,12.203389830508476,11.333333333333336,0
700.0,12.354152367879205,11.666666666666664,0
720.0,12.354152367879205,12.0,0
740.0,10.781671159029653,12.333333333333336,0
760.0,10.277903079373964,12.666666666666664,0
780.0,18.271827696664825,13.0,0
800.0,19.41381692770637,13.333333333333336,0
820.0,14.274865388019393,13.666666666666664,0
840.0,13.004121741195359,14.0,0
860.0,10.169491525423727,14.333333333333336,0
880.0,13.559322033898303,14.666666666666664,0
900.0,12.605042016806722,15.0,0
920.0,11.667810569663693,15.333333333333336,0
940.0,14.392324093816633,15.666666666666664,0
960.0,21.697795389789476,16.0,0
980.0,20.91967410540123,16.333333333333332,0
1000.0,9.408602150537632,16.666666666666668,0
1020.0,11.91310441485634,17.0,0
1040.0,10.66098081023454,17.333333333333332,0
1060.0,20.555806158747927,17.666666666666668,0
1080.0,15.831104728411743,18.0,0
