Time,Track Temp,Wind Speed,Rain
0,57.00001999999999,2.6,nan
20,57.00001999999999,2.6,nan
40,57.00001999999999,2.6,nan
60,57.00001999999999,0.0,nan
80,57.00001999999999,0.0,nan
100,57.00001999999999,0.0,nan
120,57.00001999999999,3.9,nan
140,57.00001999999999,3.9,nan
160,57.00001999999999,3.9,nan
180,55.99994,3.2,nan
200,55.99994,3.2,nan
220,55.99994,3.2,nan
240,55.99994,5.2,nan
260,55.99994,5.2,nan
280,55.99994,5.2,nan
300,55.99994,5.2,nan
320,55.99994,5.2,nan
340,55.99994,5.2,nan
360,55.99994,4.6,nan
380,55.99994,4.6,nan
400,55.99994,4.6,nan
420,55.99994,1.3,nan
440,55.99994,1.3,nan
460,55.99994,1.3,nan
480,55.99994,4.6,nan
500,55.99994,4.6,nan
520,55.99994,4.6,nan
540,55.99994,4.6,nan
560,55.99994,4.6,nan
580,55.99994,4.6,nan
600,55.99994,3.2,nan
620,55.99994,3.2,nan
640,55.99994,3.2,nan
660,55.99994,2.6,nan
680,55.99994,2.6,nan
700,55.99994,2.6,nan
720,55.99994,1.9,nan
740,55.99994,1.9,nan
760,55.99994,1.9,nan
780,55.99994,3.9,nan
800,55.99994,3.9,nan
820,55.99994,3.9,nan
840,55.99994,2.6,nan
860,55.99994,2.6,nan
880,55.99994,2.6,nan
900,55.99994,5.9,nan
920,55.99994,5.9,nan
940,55.99994,5.9,nan
960,55.99994,0.6,nan
980,55.99994,0.6,nan
1000,55.99994,0.6,nan
1020,55.99994,0.0,nan
1040,55.99994,0.0,nan
1060,55.99994,0.0,nan
1080,55.99994,1.3,nan
1100,55.99994,1.3,nan
1120,55.99994,1.3,nan
1140,55.99994,2.6,nan
1160,55.99994,2.6,nan
1180,55.99994,2.6,nan
1200,55.99994,2.6,nan
1220,55.99994,2.6,nan
1240,55.99994,2.6,nan
1260,55.99994,5.2,nan
1280,55.99994,5.2,nan
1300,55.99994,5.2,nan
1320,55.99994,5.9,nan
1340,55.99994,5.9,nan
1360,55.99994,5.9,nan
1380,55.99994,1.9,nan
1400,55.99994,1.9,nan
1420,55.99994,1.9,nan
1440,55.99994,3.9,nan
1460,55.99994,3.9,nan
1480,55.99994,3.9,nan
1500,55.99994,4.6,nan
1520,55.99994,4.6,nan
1540,55.99994,4.6,nan
1560,55.99994,1.9,nan
1580,55.99994,1.9,nan
1600,55.99994,1.9,nan
1620,55.99994,0.6,nan
1640,55.99994,0.6,nan
1660,55.99994,0.6,nan
1680,55.99994,1.9,nan
1700,55.99994,1.9,nan
1720,55.99994,1.9,nan
1740,55.99994,3.2,nan
1760,55.99994,3.2,nan
1780,55.99994,3.2,nan
1800,55.99994,3.2,nan
1820,55.99994,3.2,nan
1840,55.99994,3.2,nan
1860,55.99994,7.9,nan
1880,55.99994,7.9,nan
1900,55.99994,7.9,nan
1920,55.99994,3.2,nan
1940,55.99994,3.2,nan
1960,55.99994,3.2,nan
1980,55.99994,3.2,nan
2000,55.99994,3.2,nan
2020,55.99994,3.2,nan
2040,55.99994,1.9,nan
2060,55.99994,1.9,nan
2080,55.99994,1.9,nan
2100,55.000040000000006,5.9,nan
2120,55.000040000000006,5.9,nan
2140,55.000040000000006,5.9,nan
2160,55.99994,3.2,nan
2180,55.99994,3.2,nan
2200,55.99994,3.2,nan
2220,55.000040000000006,3.9,nan
2240,55.000040000000006,3.9,nan
2260,55.000040000000006,3.9,nan
2280,55.000040000000006,3.9,nan
2300,55.000040000000006,3.9,nan
2320,55.000040000000006,3.9,nan
2340,55.99994,5.2,nan
2360,55.99994,5.2,nan
2380,55.99994,5.2,nan
2400,55.99994,1.9,nan
2420,55.99994,1.9,nan
2440,55.99994,1.9,nan
2460,55.99994,2.6,nan
2480,55.99994,2.6,nan
2500,55.99994,2.6,nan
2520,55.99994,3.2,nan
2540,55.99994,3.2,nan
2560,55.99994,3.2,nan
2580,55.000040000000006,3.2,nan
2600,55.000040000000006,3.2,nan
2620,55.000040000000006,3.2,nan
2640,55.000040000000006,3.2,nan
2660,55.000040000000006,3.2,nan
2680,55.000040000000006,3.2,nan
2700,55.000040000000006,5.9,nan
2720,55.000040000000006,5.9,nan
2740,55.000040000000006,5.9,nan
2760,55.000040000000006,4.6,nan
2780,55.000040000000006,4.6,nan
2800,55.000040000000006,4.6,nan
2820,55.000040000000006,4.6,nan
2840,55.000040000000006,4.6,nan
2860,55.000040000000006,4.6,nan
2880,55.000040000000006,4.6,nan
2900,55.000040000000006,4.6,nan
2920,55.000040000000006,4.6,nan
2940,55.000040000000006,5.9,nan
2960,55.000040000000006,5.9,nan
2980,55.000040000000006,5.9,nan
3000,55.000040000000006,2.6,nan
3020,55.000040000000006,2.6,nan
3040,55.000040000000006,2.6,nan
3060,55.000040000000006,3.2,nan
3080,55.000040000000006,3.2,nan
3100,55.000040000000006,3.2,nan
3120,55.000040000000006,2.6,nan
3140,55.000040000000006,2.6,nan
3160,55.000040000000006,2.6,nan
3180,55.000040000000006,2.6,nan
3200,55.000040000000006,2.6,nan
3220,55.000040000000006,2.6,nan
3240,55.000040000000006,6.5,nan
3260,55.000040000000006,6.5,nan
3280,55.000040000000006,6.5,nan
3300,55.000040000000006,5.9,nan
3320,55.000040000000006,5.9,nan
3340,55.000040000000006,5.9,nan
3360,55.000040000000006,5.9,nan
3380,55.000040000000006,5.9,nan
3400,55.000040000000006,5.9,nan
3420,55.000040000000006,3.9,nan
3440,55.000040000000006,3.9,nan
3460,55.000040000000006,3.9,nan
3480,55.000040000000006,5.9,nan
3500,55.000040000000006,5.9,nan
3520,55.000040000000006,5.9,nan
3540,55.000040000000006,3.9,nan
3560,55.000040000000006,3.9,nan
3580,55.000040000000006,3.9,nan
3600,55.000040000000006,3.9,nan
3620,55.000040000000006,3.9,nan
3640,55.000040000000006,3.9,nan
3660,55.000040000000006,6.5,nan
3680,55.000040000000006,6.5,nan
3700,55.000040000000006,6.5,nan
3720,55.000040000000006,1.9,nan
3740,55.000040000000006,1.9,nan
3760,55.000040000000006,1.9,nan
3780,55.000040000000006,7.2,nan
3800,55.000040000000006,7.2,nan
3820,55.000040000000006,7.2,nan
3840,55.000040000000006,3.9,nan
3860,55.000040000000006,3.9,nan
3880,55.000040000000006,3.9,nan
3900,55.000040000000006,3.2,nan
3920,55.000040000000006,3.2,nan
3940,55.000040000000006,3.2,nan
3960,55.000040000000006,1.3,nan
3980,55.000040000000006,1.3,nan
4000,55.000040000000006,1.3,nan
4020,55.000040000000006,1.9,nan
4040,55.000040000000006,1.9,nan
4060,55.000040000000006,1.9,nan
4080,55.000040000000006,1.3,nan
4100,55.000040000000006,1.3,nan
4120,55.000040000000006,1.3,nan
4140,55.000040000000006,0.6,nan
4160,55.000040000000006,0.6,nan
4180,55.000040000000006,0.6,nan
4200,55.000040000000006,2.6,nan
4220,55.000040000000006,2.6,nan
4240,55.000040000000006,2.6,nan
4260,55.000040000000006,3.2,nan
4280,55.000040000000006,3.2,nan
4300,55.000040000000006,3.2,nan
4320,55.000040000000006,5.9,nan
4340,55.000040000000006,5.9,nan
4360,55.000040000000006,5.9,nan
4380,55.000040000000006,5.9,nan
4400,55.000040000000006,5.9,nan
4420,55.000040000000006,5.9,nan
4440,55.000040000000006,2.6,nan
4460,55.000040000000006,2.6,nan
4480,55.000040000000006,2.6,nan
4500,55.000040000000006,3.2,nan
4520,55.000040000000006,3.2,nan
4540,55.000040000000006,3.2,nan
4560,55.000040000000006,3.9,nan
4580,55.000040000000006,3.9,nan
4600,55.000040000000006,3.9,nan
4620,55.99994,4.6,nan
4640,55.99994,4.6,nan
4660,55.99994,4.6,nan
4680,55.99994,2.6,nan
4700,55.99994,2.6,nan
4720,55.99994,2.6,nan
4740,55.99994,2.6,nan
4760,55.99994,2.6,nan
4780,55.99994,2.6,nan
4800,55.99994,1.3,nan
4820,55.99994,1.3,nan
4840,55.99994,1.3,nan
4860,55.99994,3.2,nan
4880,55.99994,3.2,nan
4900,55.99994,3.2,nan
4920,55.99994,5.2,nan
4940,55.99994,5.2,nan
4960,55.99994,5.2,nan
4980,55.000040000000006,4.6,nan
5000,55.000040000000006,4.6,nan
5020,55.000040000000006,4.6,nan
5040,55.000040000000006,5.9,nan
5060,55.000040000000006,5.9,nan
5080,55.000040000000006,5.9,nan
5100,55.000040000000006,4.6,nan
5120,55.000040000000006,4.6,nan
5140,55.000040000000006,4.6,nan
5160,55.000040000000006,5.9,nan
5180,55.000040000000006,5.9,nan
5200,55.000040000000006,5.9,nan
5220,55.000040000000006,1.9,nan
5240,55.000040000000006,1.9,nan
5260,55.000040000000006,1.9,nan
5280,55.000040000000006,5.9,nan
5300,55.000040000000006,5.9,nan
5320,55.000040000000006,5.9,nan
5340,55.000040000000006,7.2,nan
5360,55.000040000000006,7.2,nan
5380,55.000040000000006,7.2,nan
5400,55.000040000000006,6.5,nan
5420,55.000040000000006,6.5,nan
5440,55.000040000000006,6.5,nan
5460,55.000040000000006,3.2,nan
5480,55.000040000000006,3.2,nan
5500,55.000040000000006,3.2,nan
5520,55.000040000000006,3.2,nan
5540,55.000040000000006,3.2,nan
5560,55.000040000000006,3.2,nan
5580,55.000040000000006,9.2,nan
5600,55.000040000000006,9.2,nan
5620,55.000040000000006,9.2,nan
5640,55.000040000000006,5.2,nan
5660,55.000040000000006,5.2,nan
5680,55.000040000000006,5.2,nan
5700,55.000040000000006,7.2,nan
5720,55.000040000000006,7.2,nan
5740,55.000040000000006,7.2,nan
5760,55.000040000000006,4.6,nan
5780,55.000040000000006,4.6,nan
5800,55.000040000000006,4.6,nan
5820,55.000040000000006,2.6,nan
5840,55.000040000000006,2.6,nan
5860,55.000040000000006,2.6,nan
5880,55.000040000000006,3.2,nan
5900,55.000040000000006,3.2,nan
5920,55.000040000000006,3.2,nan
5940,55.000040000000006,5.2,nan
5960,55.000040000000006,5.2,nan
5980,55.000040000000006,5.2,nan
6000,55.000040000000006,0.6,nan
6020,55.000040000000006,0.6,nan
6040,55.000040000000006,0.6,nan
6060,55.000040000000006,5.9,nan
6080,55.000040000000006,5.9,nan
6100,55.000040000000006,5.9,nan
6120,55.000040000000006,3.2,nan
6140,55.000040000000006,3.2,nan
6160,55.000040000000006,3.2,nan
6180,55.000040000000006,4.6,nan
6200,55.000040000000006,4.6,nan
6220,55.000040000000006,4.6,nan
6240,55.000040000000006,6.5,nan
6260,55.000040000000006,6.5,nan
6280,55.000040000000006,6.5,nan
6300,55.000040000000006,4.6,nan
6320,55.000040000000006,4.6,nan
6340,55.000040000000006,4.6,nan
6360,55.000040000000006,1.3,nan
6380,55.000040000000006,1.3,nan
6400,55.000040000000006,1.3,nan
6420,55.000040000000006,6.5,nan
6440,55.000040000000006,6.5,nan
6460,55.000040000000006,6.5,nan
6480,55.000040000000006,6.5,nan
6500,55.000040000000006,6.5,nan
6520,55.000040000000006,6.5,nan
6540,55.000040000000006,4.6,nan
6560,55.000040000000006,4.6,nan
6580,55.000040000000006,4.6,nan
6600,55.000040000000006,7.9,nan
6620,55.000040000000006,7.9,nan
6640,55.000040000000006,7.9,nan
6660,55.000040000000006,1.9,nan
6680,55.000040000000006,1.9,nan
6700,55.000040000000006,1.9,nan
6720,55.000040000000006,4.6,nan
6740,55.000040000000006,4.6,nan
6760,55.000040000000006,4.6,nan
6780,55.000040000000006,8.5,nan
6800,55.000040000000006,8.5,nan
6820,55.000040000000006,8.5,nan
6840,55.000040000000006,6.5,nan
6860,55.000040000000006,6.5,nan
6880,55.000040000000006,6.5,nan
6900,55.000040000000006,5.2,nan
6920,55.000040000000006,5.2,nan
6940,55.000040000000006,5.2,nan
6960,55.000040000000006,5.2,nan
6980,55.000040000000006,5.2,nan
7000,55.000040000000006,5.2,nan
7020,55.000040000000006,2.6,nan
7040,55.000040000000006,2.6,nan
7060,55.000040000000006,2.6,nan
7080,55.000040000000006,5.9,nan
7100,55.000040000000006,5.9,nan
7120,55.000040000000006,5.9,nan
7140,55.000040000000006,3.2,nan
7160,55.000040000000006,3.2,nan
7180,55.000040000000006,3.2,nan
7200,55.000040000000006,3.9,nan
7220,55.000040000000006,3.9,nan
7240,55.000040000000006,3.9,nan
7260,55.000040000000006,8.5,nan
7280,55.000040000000006,8.5,nan
7300,55.000040000000006,8.5,nan
7320,55.000040000000006,2.6,nan
7340,55.000040000000006,2.6,nan
7360,55.000040000000006,2.6,nan
7380,55.000040000000006,3.2,nan
7400,55.000040000000006,3.2,nan
7420,55.000040000000006,3.2,nan
7440,53.999959999999994,3.9,nan
7460,53.999959999999994,3.9,nan
7480,53.999959999999994,3.9,nan
7500,53.999959999999994,3.2,nan
7520,53.999959999999994,3.2,nan
7540,53.999959999999994,3.2,nan
7560,53.999959999999994,5.9,nan
7580,53.999959999999994,5.9,nan
7600,53.999959999999994,5.9,nan
7620,53.999959999999994,5.2,nan
7640,53.999959999999994,5.2,nan
7660,53.999959999999994,5.2,nan
7680,53.999959999999994,1.9,nan
7700,53.999959999999994,1.9,nan
7720,53.999959999999994,1.9,nan
7740,53.999959999999994,3.2,nan
7760,53.999959999999994,3.2,nan
7780,53.999959999999994,3.2,nan
7800,53.999959999999994,7.9,nan
7820,53.999959999999994,7.9,nan
7840,53.999959999999994,7.9,nan
7860,53.999959999999994,8.5,nan
7880,53.999959999999994,8.5,nan
7900,53.999959999999994,8.5,nan
7920,53.999959999999994,5.2,nan
7940,53.999959999999994,5.2,nan
7960,53.999959999999994,5.2,nan
7980,53.999959999999994,3.2,nan
8000,53.999959999999994,3.2,nan
8020,53.999959999999994,3.2,nan
8040,53.999959999999994,5.2,nan
8060,53.999959999999994,5.2,nan
8080,53.999959999999994,5.2,nan
8100,53.999959999999994,5.9,nan
8120,53.999959999999994,5.9,nan
8140,53.999959999999994,5.9,nan
8160,53.999959999999994,3.9,nan
8180,53.999959999999994,3.9,nan
8200,53.999959999999994,3.9,nan
8220,53.999959999999994,4.6,nan
8240,53.999959999999994,4.6,nan
8260,53.999959999999994,4.6,nan
8280,53.999959999999994,4.6,nan
8300,53.999959999999994,4.6,nan
8320,53.999959999999994,4.6,nan
8340,53.999959999999994,1.3,nan
8360,53.999959999999994,1.3,nan
8380,53.999959999999994,1.3,nan
8400,53.999959999999994,1.9,nan
8420,53.999959999999994,1.9,nan
8440,53.999959999999994,1.9,nan
8460,53.999959999999994,3.2,nan
8480,53.999959999999994,3.2,nan
8500,53.999959999999994,3.2,nan
8520,53.999959999999994,2.6,nan
8540,53.999959999999994,2.6,nan
8560,53.999959999999994,2.6,nan
8580,53.999959999999994,2.6,nan
8600,53.999959999999994,2.6,nan
8620,53.999959999999994,2.6,nan
8640,53.999959999999994,3.2,nan
8660,53.999959999999994,3.2,nan
8680,53.999959999999994,3.2,nan
8700,53.999959999999994,2.6,nan
8720,53.999959999999994,2.6,nan
8740,53.999959999999994,2.6,nan
8760,53.999959999999994,5.9,nan
8780,53.999959999999994,5.9,nan
8800,53.999959999999994,5.9,nan
8820,53.999959999999994,5.2,nan
8840,53.999959999999994,5.2,nan
8860,53.999959999999994,5.2,nan
8880,53.999959999999994,3.9,nan
8900,53.999959999999994,3.9,nan
8920,53.999959999999994,3.9,nan
8940,53.999959999999994,1.9,nan
8960,53.999959999999994,1.9,nan
8980,53.999959999999994,1.9,nan
9000,53.999959999999994,5.2,nan
9020,53.999959999999994,5.2,nan
9040,53.999959999999994,5.2,nan
9060,53.999959999999994,3.9,nan
9080,53.999959999999994,3.9,nan
9100,53.999959999999994,3.9,nan
9120,53.999959999999994,3.9,nan
9140,53.999959999999994,3.9,nan
9160,53.999959999999994,3.9,nan
9180,53.999959999999994,1.9,nan
9200,53.999959999999994,1.9,nan
9220,53.999959999999994,1.9,nan
9240,53.999959999999994,1.3,nan
9260,53.999959999999994,1.3,nan
9280,53.999959999999994,1.3,nan
9300,53.999959999999994,0.6,nan
9320,53.999959999999994,0.6,nan
9340,53.999959999999994,0.6,nan
9360,53.999959999999994,6.5,nan
9380,53.999959999999994,6.5,nan
9400,53.999959999999994,6.5,nan
9420,53.999959999999994,2.6,nan
9440,53.999959999999994,2.6,nan
9460,53.999959999999994,2.6,nan
9480,53.999959999999994,2.6,nan
9500,53.999959999999994,2.6,nan
9520,53.999959999999994,2.6,nan
9540,53.999959999999994,3.9,nan
9560,53.999959999999994,3.9,nan
9580,53.999959999999994,3.9,nan
9600,53.999959999999994,3.9,nan
9620,53.999959999999994,3.9,nan
9640,53.999959999999994,3.9,nan
9660,55.000040000000006,2.6,nan
9680,55.000040000000006,2.6,nan
9700,55.000040000000006,2.6,nan
9720,55.000040000000006,4.6,nan
9740,55.000040000000006,4.6,nan
9760,55.000040000000006,4.6,nan
9780,55.000040000000006,4.6,nan
9800,55.000040000000006,4.6,nan
9820,55.000040000000006,4.6,nan
9840,55.000040000000006,4.6,nan
9860,55.000040000000006,4.6,nan
9880,55.000040000000006,4.6,nan
9900,55.000040000000006,3.9,nan
9920,55.000040000000006,3.9,nan
9940,55.000040000000006,3.9,nan
9960,55.000040000000006,3.2,nan
9980,55.000040000000006,3.2,nan
10000,55.000040000000006,3.2,nan
10020,55.000040000000006,2.6,nan
10040,55.000040000000006,2.6,nan
10060,55.000040000000006,2.6,nan
10080,55.000040000000006,3.2,nan
10100,55.000040000000006,3.2,nan
10120,55.000040000000006,3.2,nan
10140,55.000040000000006,3.2,nan
10160,55.000040000000006,3.2,nan
10180,55.000040000000006,3.2,nan
10200,55.000040000000006,4.6,nan
10220,55.000040000000006,4.6,nan
10240,55.000040000000006,4.6,nan
10260,55.000040000000006,1.9,nan
10280,55.000040000000006,1.9,nan
10300,55.000040000000006,1.9,nan
10320,55.000040000000006,2.6,nan
10340,55.000040000000006,2.6,nan
10360,55.000040000000006,2.6,nan
