Time,Max Concentration,Last Pit,Air Temp,Track Temp,Humidity,Pressure,Wind Speed,Yellow
20.0,26.26575231395568,0.3333333333333333,56.40008,57.00001999999999,58,30.175037384,2.6,0
40.0,18.70748299319728,0.6666666666666666,56.40008,57.00001999999999,58,30.175037384,2.6,0
60.0,21.505376344086024,1.0,56.40008,57.00001999999999,58,30.177104490999998,0.0,0
80.0,22.40896358543417,1.3333333333333333,56.40008,57.00001999999999,58,30.177104490999998,0.0,0
100.0,16.846361185983827,1.6666666666666667,56.40008,57.00001999999999,58,30.177104490999998,0.0,0
120.0,12.793176972281447,2.0,56.40008,57.00001999999999,58,30.174151481,3.9,0
140.0,12.561881541457064,2.333333333333333,56.40008,57.00001999999999,58,30.174151481,3.9,0
160.0,13.180272108843539,2.6666666666666665,56.40008,57.00001999999999,58,30.174151481,3.9,0
180.0,11.424731182795698,3.0,56.40008,55.99994,59,30.173265578000002,3.2,0
200.0,14.005602240896359,3.333333333333333,56.40008,55.99994,59,30.173265578000002,3.2,0
220.0,8.57365549493375,3.6666666666666665,56.40008,55.99994,59,30.173265578000002,3.2,0
240.0,12.561881541457064,4.0,56.40008,55.99994,59,30.171198471,5.2,0
260.0,9.046345559092424,4.333333333333333,56.40008,55.99994,59,30.171198471,5.2,0
280.0,6.802721088435375,4.666666666666667,56.40008,55.99994,59,30.171198471,5.2,0
300.0,9.103641456582633,5.0,56.3,55.99994,59,30.171198471,5.2,0
320.0,8.333333333333334,5.333333333333333,56.3,55.99994,59,30.171198471,5.2,0
340.0,9.594882729211088,5.666666666666668,56.3,55.99994,59,30.171198471,5.2,0
360.0,6.851935386249307,6.0,56.19992,55.99994,59,30.174151481,4.6,0
380.0,10.20408163265306,6.333333333333332,56.19992,55.99994,59,30.174151481,4.6,0
400.0,16.666666666666668,6.666666666666668,56.19992,55.99994,59,30.174151481,4.6,0
420.0,8.403361344537815,7.0,56.19992,55.99994,59,30.175037384,1.3,0
440.0,8.333333333333334,7.333333333333332,56.19992,55.99994,59,30.175037384,1.3,0
460.0,10.848897694894736,7.666666666666668,56.19992,55.99994,59,30.175037384,1.3,0
480.0,8.078231292517007,8.0,56.10002,55.99994,59,30.175037384,4.6,0
500.0,8.064516129032258,8.333333333333334,56.10002,55.99994,59,30.175037384,4.6,0
520.0,8.403361344537815,8.666666666666666,56.10002,55.99994,59,30.175037384,4.6,0
540.0,8.333333333333334,9.0,56.10002,55.99994,59,30.174151481,4.6,0
560.0,6.929637526652452,9.333333333333334,56.10002,55.99994,59,30.174151481,4.6,0
580.0,6.784759169319319,9.666666666666666,56.10002,55.99994,59,30.174151481,4.6,0
600.0,6.802721088435375,10.0,56.10002,55.99994,59,30.176218588,3.2,0
620.0,8.333333333333334,10.333333333333334,56.10002,55.99994,59,30.176218588,3.2,0
640.0,6.177076183939603,10.666666666666666,56.10002,55.99994,59,30.176218588,3.2,0
660.0,8.333333333333334,11.0,56.10002,55.99994,59,30.175037384,2.6,0
680.0,6.851935386249307,11.333333333333336,56.10002,55.99994,59,30.175037384,2.6,0
700.0,8.333333333333334,11.666666666666664,56.10002,55.99994,59,30.175037384,2.6,0
720.0,6.048387096774192,12.0,56.10002,55.99994,59,30.174151481,1.9,0
740.0,7.002801120448179,12.333333333333336,56.10002,55.99994,59,30.174151481,1.9,0
760.0,4.797441364605544,12.666666666666664,56.10002,55.99994,59,30.174151481,1.9,0
780.0,8.333333333333334,13.0,56.10002,55.99994,59,30.173265578000002,3.9,0
800.0,8.480948961649148,13.333333333333336,56.10002,55.99994,59,30.173265578000002,3.9,0
820.0,8.503401360544219,13.666666666666664,56.10002,55.99994,59,30.173265578000002,3.9,0
840.0,8.409250175192712,14.0,56.10002,55.99994,59,30.174151481,2.6,0
860.0,6.177076183939603,14.333333333333336,56.10002,55.99994,59,30.174151481,2.6,0
880.0,8.528784648187633,14.666666666666664,56.10002,55.99994,59,30.174151481,2.6,0
900.0,8.480948961649148,15.0,56.10002,55.99994,59,30.174151481,5.9,0
920.0,10.20408163265306,15.333333333333336,56.10002,55.99994,59,30.174151481,5.9,0
940.0,6.302521008403361,15.666666666666664,56.10002,55.99994,59,30.174151481,5.9,0
960.0,7.412398921832883,16.0,55.99994,55.99994,59,30.174151481,0.6,0
980.0,7.995735607675908,16.333333333333332,55.99994,55.99994,59,30.174151481,0.6,0
1000.0,8.480948961649148,16.666666666666668,55.99994,55.99994,59,30.174151481,0.6,0
1020.0,10.20408163265306,17.0,55.99994,55.99994,59,30.175037384,0.0,0
1040.0,6.048387096774192,17.333333333333332,55.99994,55.99994,59,30.175037384,0.0,0
1060.0,6.863417982155113,17.666666666666668,55.99994,55.99994,59,30.175037384,0.0,0
1080.0,6.929637526652452,18.0,55.99994,55.99994,60,30.177990394000002,1.3,0
1100.0,8.564919232811635,18.33333333333333,55.99994,55.99994,60,30.177990394000002,1.3,0
1120.0,7.653061224489796,18.666666666666668,55.99994,55.99994,60,30.177990394000002,1.3,0
1140.0,6.802721088435375,19.0,56.10002,55.99994,60,30.177104490999998,2.6,0
1160.0,5.6061667834618065,19.33333333333333,56.10002,55.99994,60,30.177104490999998,2.6,0
1180.0,8.333333333333334,19.666666666666668,56.10002,55.99994,60,30.177104490999998,2.6,0
1200.0,8.333333333333334,20.0,56.10002,55.99994,60,30.177104490999998,2.6,0
1220.0,6.280940770728532,20.33333333333333,56.10002,55.99994,60,30.177104490999998,2.6,0
1240.0,7.653061224489796,20.666666666666668,56.10002,55.99994,60,30.177104490999998,2.6,0
