"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"31","DPi","Felipe Nasr","1","1:37.325","1:37.325","Green","Track","23.973","45.068","28.283"
"5","DPi","Loic Duval","1","1:37.876","1:37.876","Green","Track","24.374","45.135","28.160"
"60","DPi","Dane Cameron","1","1:38.517","1:38.517","Green","Track","24.804","45.375","28.252"
"01","DPi","Renger van der Zande","1","1:39.000","1:39.000","Green","Track","24.286","45.684","28.466"
"10","DPi","Filipe Albuquerque","1","1:39.432","1:39.432","Green","Track","25.073","45.720","28.337"
"48","DPi","Jimmie Johnson","1","1:40.757","1:40.757","Green","Track","25.417","46.103","28.625"
"52","LMP2","Ben Keating","1","1:42.878","1:42.878","Green","Track","25.560","46.811","29.196"
"20","LMP2","Dennis Andersen","1","1:44.869","1:44.869","Green","Track","26.196","47.486","29.725"
"8","LMP2","John Farano","1","1:45.890","1:45.890","Green","Track","26.411","47.735","29.960"
"29","LMP2","Frits Van Eerd","1","1:46.287","1:46.287","Green","Track","26.435","47.976","29.765"
"51","LMP2","Salih Yoluc","1","1:46.608","1:46.608","Green","Track","26.202","47.741","29.777"
"47","LMP2","Roberto Lacorte","1","1:47.585","1:47.585","Green","Track","27.041","48.108","29.732"
"81","LMP2","Rob Hodes","1","1:48.836","1:48.836","Green","Track","27.375","48.279","31.033"
"11","LMP2","Steven Thomas","1","1:49.823","1:49.823","Green","Track","26.666","48.678","31.208"
"18","LMP2","Dwight Merriman","1","1:50.146","1:50.146","Green","Track","27.317","48.365","31.417"
"82","LMP2","Eric Lux","1","1:50.165","1:50.165","Green","Track","27.091","48.679","30.995"
"6","LMP3","Moritz Kranz","1","1:52.087","1:52.087","Green","Track","26.693","49.761","31.423"
"7","LMP3","Ryan Norman","1","1:52.791","1:52.791","Green","Track","27.224","50.022","31.583"
"38","LMP3","Rasmus Lindh","1","1:53.298","1:53.298","Green","Track","27.084","49.392","31.461"
"74","LMP3","Gar Robinson","1","1:55.172","1:55.172","Green","Track","28.108","49.575","31.887"
"54","LMP3","Jonathan Bennett","1","1:55.808","1:55.808","Green","Track","27.916","50.704","32.360"
"91","LMP3","Jim Cox","1","1:57.443","1:57.443","Green","Track","29.091","50.892","31.953"
"33","LMP3","Lance Willsey","1","1:57.490","1:57.490","Green","Track","28.859","51.585","32.206"
"4","GTLM","Tommy Milner","1","2:17.332","2:17.332","Green","Track","26.033","48.756","30.999"
"3","GTLM","Antonio Garcia","1","2:18.108","2:18.108","Green","Track","26.791","48.750","30.754"
"25","GTLM","Bruno Spengler","1","2:18.764","2:18.764","Green","Track","26.339","49.188","31.360"
"24","GTLM","John Edwards","1","2:19.999","2:19.999","Green","Track","26.502","48.576","31.109"
"62","GTLM","Alessandro Pier Guidi","1","2:20.568","2:20.568","Green","Track","26.754","49.069","31.121"
"96","GTD","Robby Foley","1","2:21.034","2:21.034","Green","Track","26.871","50.049","31.864"
"12","GTD","Frankie Montecalvo","1","2:21.692","2:21.692","Green","Track","26.245","50.059","32.232"
"111","GTD","Rolf Ineichen","1","2:23.175","2:23.175","Green","Track","27.057","51.099","31.963"
"9","GTD","Zacharie Robichon","1","2:23.808","2:23.808","Green","Track","27.108","50.534","32.295"
"14","GTD","Aaron Telitz","1","2:23.931","2:23.931","Green","Track","27.016","50.563","31.964"
"55","DPi","Oliver Jarvis","1","2:24.226","2:24.226","Green","Track","28.422","48.905","29.647"
"16","GTD","Jan Heylen","1","2:24.420","2:24.420","Green","Track","27.151","50.266","32.318"
"19","GTD","Misha Goikhberg","1","2:26.740","2:26.740","Green","Track","27.275","51.387","33.040"
"57","GTD","Russell Ward","1","2:26.882","2:26.882","Green","Track","28.273","51.011","33.000"
"23","GTD","Ian James","1","2:27.735","2:27.735","Green","Track","28.403","51.658","32.869"
"88","GTD","Rob Ferriol","1","2:28.043","2:28.043","Green","Track","28.386","51.551","32.780"
"97","GTD","Maxwell Root","1","2:28.243","2:28.243","Green","Track","28.712","51.878","32.423"
"21","GTD","Matteo Cressoni","1","2:28.348","2:28.348","Green","Track","28.591","51.334","32.363"
"28","GTD","Daniel Morad","1","2:28.552","2:28.552","Green","Track","28.370","51.310","33.071"
"44","GTD","John Potter","1","2:29.281","2:29.281","Green","Track","29.070","51.928","32.907"
"75","GTD","Kenny Habul","1","2:29.395","2:29.395","Green","Track","29.047","52.085","32.454"
"1","GTD","Madison Snow","1","2:29.960","2:29.960","Green","Track","29.134","51.870","32.550"
"63","GTD","Bret Curtis","1","2:30.608","2:30.608","Green","Track","28.956","52.397","32.959"
"79","GTLM","Kevin Estre","1","2:31.564","2:31.564","Green","Track","26.074","49.800","31.130"
"42","GTD","Don Yount","1","2:34.986","2:34.986","Green","Track","30.438","53.613","33.420"
"64","GTD","Ted Giovanis","1","2:36.575","2:36.575","Green","Track","30.112","54.895","34.292"
"31","DPi","Felipe Nasr","2","1:35.805","3:13.130","Green","Track","22.882","44.984","27.939"
"5","DPi","Loic Duval","2","1:35.816","3:13.692","Green","Track","22.982","45.045","27.789"
"60","DPi","Dane Cameron","2","1:36.117","3:14.634","Green","Track","23.223","44.959","27.935"
"01","DPi","Renger van der Zande","2","1:36.105","3:15.105","Green","Track","23.133","44.932","28.040"
"10","DPi","Filipe Albuquerque","2","1:36.108","3:15.540","Green","Track","23.417","44.920","27.771"
"48","DPi","Jimmie Johnson","2","1:36.699","3:17.456","Green","Track","23.512","44.980","28.207"
"52","LMP2","Ben Keating","2","1:38.941","3:21.819","Green","Track","23.976","45.970","28.995"
"20","LMP2","Dennis Andersen","2","1:39.843","3:24.712","Green","Track","24.078","46.408","29.357"
"8","LMP2","John Farano","2","1:41.522","3:27.412","Green","Track","24.761","47.095","29.666"
"51","LMP2","Salih Yoluc","2","1:41.566","3:28.174","Green","Track","25.078","47.008","29.480"
"29","LMP2","Frits Van Eerd","2","1:41.933","3:28.220","Green","Track","24.763","46.875","30.295"
"47","LMP2","Roberto Lacorte","2","1:40.759","3:28.344","Green","Track","24.411","46.992","29.356"
"81","LMP2","Rob Hodes","2","1:42.180","3:31.016","Green","Track","25.284","46.921","29.975"
"82","LMP2","Eric Lux","2","1:41.949","3:32.114","Green","Track","24.617","47.213","30.119"
"11","LMP2","Steven Thomas","2","1:42.374","3:32.197","Green","Track","24.705","47.545","30.124"
"18","LMP2","Dwight Merriman","2","1:42.654","3:32.800","Green","Track","25.153","46.897","30.604"
"6","LMP3","Moritz Kranz","2","1:44.586","3:36.673","Green","Track","24.798","48.881","30.907"
"7","LMP3","Ryan Norman","2","1:45.167","3:37.958","Green","Track","25.185","48.902","31.080"
"38","LMP3","Rasmus Lindh","2","1:45.182","3:38.480","Green","Track","25.091","48.895","31.196"
"74","LMP3","Gar Robinson","2","1:46.077","3:41.249","Green","Track","25.369","49.279","31.429"
"54","LMP3","Jonathan Bennett","2","1:47.406","3:43.214","Green","Track","25.761","49.841","31.804"
"91","LMP3","Jim Cox","2","1:47.539","3:44.982","Green","Track","26.255","49.658","31.626"
"33","LMP3","Lance Willsey","2","1:48.927","3:46.417","Green","Track","26.802","50.149","31.976"
"4","GTLM","Tommy Milner","2","1:43.480","4:00.812","Green","Track","24.784","47.945","30.751"
"3","GTLM","Antonio Garcia","2","1:43.633","4:01.741","Green","Track","24.782","48.146","30.705"
"25","GTLM","Bruno Spengler","2","1:43.680","4:02.444","Green","Track","24.735","48.445","30.500"
"55","DPi","Oliver Jarvis","2","1:39.029","4:03.255","Green","Track","25.374","45.534","28.121"
"24","GTLM","John Edwards","2","1:43.990","4:03.989","Green","Track","24.794","48.538","30.658"
"62","GTLM","Alessandro Pier Guidi","2","1:43.664","4:04.232","Green","Track","24.728","48.359","30.577"
"96","GTD","Robby Foley","2","1:46.535","4:07.569","Green","Track","25.115","49.673","31.747"
"12","GTD","Frankie Montecalvo","2","1:46.078","4:07.770","Green","Track","25.137","49.450","31.491"
"111","GTD","Rolf Ineichen","2","1:46.709","4:09.884","Green","Track","25.145","49.876","31.688"
"9","GTD","Zacharie Robichon","2","1:47.200","4:11.008","Green","Track","25.554","49.654","31.992"
"14","GTD","Aaron Telitz","2","1:47.546","4:11.477","Green","Track","26.096","49.823","31.627"
"16","GTD","Jan Heylen","2","1:47.488","4:11.908","Green","Track","25.853","49.791","31.844"
"19","GTD","Misha Goikhberg","2","1:48.072","4:14.812","Green","Track","25.466","50.295","32.311"
"57","GTD","Russell Ward","2","1:48.043","4:14.925","Green","Track","25.894","50.063","32.086"
"23","GTD","Ian James","2","1:48.155","4:15.890","Green","Track","25.721","50.403","32.031"
"21","GTD","Matteo Cressoni","2","1:47.600","4:15.948","Green","Track","26.624","49.673","31.303"
"88","GTD","Rob Ferriol","2","1:49.566","4:17.609","Green","Track","26.470","50.944","32.152"
"97","GTD","Maxwell Root","2","1:49.381","4:17.624","Green","Track","26.739","50.757","31.885"
"79","GTLM","Kevin Estre","2","1:46.183","4:17.747","Green","Track","24.932","50.108","31.143"
"44","GTD","John Potter","2","1:50.257","4:19.538","Green","Track","26.626","51.012","32.619"
"1","GTD","Madison Snow","2","1:49.843","4:19.803","Green","Track","26.141","51.753","31.949"
"63","GTD","Bret Curtis","2","1:50.718","4:21.326","Green","Track","26.292","51.913","32.513"
"75","GTD","Kenny Habul","2","1:52.305","4:21.700","Green","Track","27.078","52.483","32.744"
"42","GTD","Don Yount","2","1:51.827","4:26.813","Green","Track","26.690","51.853","33.284"
"28","GTD","Daniel Morad","2","2:02.736","4:31.288","Green","Pit","27.154","50.666","44.916"
"64","GTD","Ted Giovanis","2","1:56.414","4:32.989","Green","Track","28.156","53.887","34.371"
"31","DPi","Felipe Nasr","3","1:35.282","4:48.412","Green","Track","22.748","44.809","27.725"
"5","DPi","Loic Duval","3","1:35.345","4:49.037","Green","Track","22.918","44.797","27.630"
"60","DPi","Dane Cameron","3","1:35.762","4:50.396","Green","Track","22.874","44.909","27.979"
"01","DPi","Renger van der Zande","3","1:35.452","4:50.557","Green","Track","22.884","44.783","27.785"
"10","DPi","Filipe Albuquerque","3","1:35.900","4:51.440","Green","Track","23.086","44.938","27.876"
"48","DPi","Jimmie Johnson","3","1:36.288","4:53.744","Green","Track","23.189","44.911","28.188"
"52","LMP2","Ben Keating","3","1:38.470","5:00.289","Green","Track","23.602","46.069","28.799"
"20","LMP2","Dennis Andersen","3","1:39.623","5:04.335","Green","Track","23.754","46.582","29.287"
"8","LMP2","John Farano","3","1:40.514","5:07.926","Green","Track","24.056","46.938","29.520"
"29","LMP2","Frits Van Eerd","3","1:40.018","5:08.238","Green","Track","24.077","46.468","29.473"
"47","LMP2","Roberto Lacorte","3","1:40.835","5:09.179","Green","Track","24.989","46.434","29.412"
"51","LMP2","Salih Yoluc","3","1:41.261","5:09.435","Green","Track","24.764","46.767","29.730"
"82","LMP2","Eric Lux","3","1:41.039","5:13.153","Green","Track","24.018","46.796","30.225"
"81","LMP2","Rob Hodes","3","1:42.164","5:13.180","Green","Track","24.772","47.065","30.327"
"18","LMP2","Dwight Merriman","3","1:40.888","5:13.688","Green","Track","24.633","46.897","29.358"
"11","LMP2","Steven Thomas","3","1:41.527","5:13.724","Green","Track","24.730","47.012","29.785"
"6","LMP3","Moritz Kranz","3","1:44.089","5:20.762","Green","Track","24.715","48.553","30.821"
"7","LMP3","Ryan Norman","3","1:44.612","5:22.570","Green","Track","24.703","48.816","31.093"
"38","LMP3","Rasmus Lindh","3","1:44.384","5:22.864","Green","Track","24.635","48.738","31.011"
"74","LMP3","Gar Robinson","3","1:45.363","5:26.612","Green","Track","24.868","49.181","31.314"
"54","LMP3","Jonathan Bennett","3","1:46.549","5:29.763","Green","Track","25.473","49.553","31.523"
"91","LMP3","Jim Cox","3","1:47.019","5:32.001","Green","Track","25.918","49.546","31.555"
"33","LMP3","Lance Willsey","3","1:47.548","5:33.965","Green","Track","25.732","50.148","31.668"
"55","DPi","Oliver Jarvis","3","1:36.884","5:40.139","Green","Track","23.473","45.433","27.978"
"4","GTLM","Tommy Milner","3","1:43.294","5:44.106","Green","Track","24.429","48.236","30.629"
"3","GTLM","Antonio Garcia","3","1:43.254","5:44.995","Green","Track","24.219","48.460","30.575"
"25","GTLM","Bruno Spengler","3","1:43.562","5:46.006","Green","Track","24.684","48.337","30.541"
"62","GTLM","Alessandro Pier Guidi","3","1:43.258","5:47.490","Green","Track","24.717","47.983","30.558"
"24","GTLM","John Edwards","3","1:43.767","5:47.756","Green","Track","24.525","48.477","30.765"
"96","GTD","Robby Foley","3","1:46.372","5:53.941","Green","Track","25.026","49.662","31.684"
"12","GTD","Frankie Montecalvo","3","1:46.198","5:53.968","Green","Track","25.203","49.531","31.464"
"111","GTD","Rolf Ineichen","3","1:46.166","5:56.050","Green","Track","24.822","49.671","31.673"
"9","GTD","Zacharie Robichon","3","1:46.781","5:57.789","Green","Track","25.183","49.726","31.872"
"14","GTD","Aaron Telitz","3","1:46.383","5:57.860","Green","Track","25.140","49.702","31.541"
"16","GTD","Jan Heylen","3","1:46.435","5:58.343","Green","Track","25.204","49.498","31.733"
"19","GTD","Misha Goikhberg","3","1:48.067","6:02.879","Green","Track","25.508","50.081","32.478"
"57","GTD","Russell Ward","3","1:48.102","6:03.027","Green","Track","25.812","49.758","32.532"
"79","GTLM","Kevin Estre","3","1:45.217","6:02.964","Green","Track","25.009","48.807","31.401"
"21","GTD","Matteo Cressoni","3","1:47.208","6:03.156","Green","Track","25.152","49.549","32.507"
"23","GTD","Ian James","3","1:48.209","6:04.099","Green","Track","25.893","50.012","32.304"
"97","GTD","Maxwell Root","3","1:47.519","6:05.143","Green","Track","26.023","49.810","31.686"
"88","GTD","Rob Ferriol","3","1:48.880","6:06.489","Green","Track","26.507","50.424","31.949"
"44","GTD","John Potter","3","1:47.746","6:07.284","Green","Track","25.399","50.071","32.276"
"1","GTD","Madison Snow","3","1:47.487","6:07.290","Green","Track","25.436","49.999","32.052"
"63","GTD","Bret Curtis","3","1:48.485","6:09.811","Green","Track","25.854","50.314","32.317"
"75","GTD","Kenny Habul","3","1:48.273","6:09.973","Green","Track","25.857","50.351","32.065"
"42","GTD","Don Yount","3","1:50.993","6:17.806","Green","Track","25.985","51.848","33.160"
"31","DPi","Felipe Nasr","4","1:35.491","6:23.903","Green","Track","22.645","44.673","28.173"
"60","DPi","Dane Cameron","4","1:36.386","6:26.782","Green","Track","22.995","44.897","28.494"
"5","DPi","Loic Duval","4","1:37.765","6:26.802","Green","Track","22.711","44.768","30.286"
"01","DPi","Renger van der Zande","4","1:36.363","6:26.920","Green","Track","22.892","45.074","28.397"
"10","DPi","Filipe Albuquerque","4","1:35.633","6:27.073","Green","Track","22.878","44.737","28.018"
"48","DPi","Jimmie Johnson","4","1:36.415","6:30.159","Green","Track","23.299","44.924","28.192"
"64","GTD","Ted Giovanis","3","1:57.214","6:30.203","Green","Track","28.620","54.005","34.589"
"52","LMP2","Ben Keating","4","1:37.847","6:38.136","Green","Track","23.487","45.800","28.560"
"28","GTD","Daniel Morad","3","2:11.043","6:42.331","Green","Track","48.311","50.727","32.005"
"20","LMP2","Dennis Andersen","4","1:38.882","6:43.217","Green","Track","23.498","46.372","29.012"
"8","LMP2","John Farano","4","1:39.771","6:47.697","Green","Track","24.092","46.309","29.370"
"29","LMP2","Frits Van Eerd","4","1:40.086","6:48.324","Green","Track","24.307","46.544","29.235"
"47","LMP2","Roberto Lacorte","4","1:39.218","6:48.397","Green","Track","23.884","46.505","28.829"
"51","LMP2","Salih Yoluc","4","1:39.736","6:49.171","Green","Track","24.158","46.697","28.881"
"82","LMP2","Eric Lux","4","1:40.767","6:53.920","Green","Track","24.391","46.643","29.733"
"81","LMP2","Rob Hodes","4","1:42.211","6:55.391","Green","Track","25.101","47.157","29.953"
"18","LMP2","Dwight Merriman","4","1:41.861","6:55.549","Green","Track","25.071","47.212","29.578"
"11","LMP2","Steven Thomas","4","1:42.238","6:55.962","Green","Track","25.340","47.248","29.650"
"6","LMP3","Moritz Kranz","4","1:43.485","7:04.247","Green","Track","24.392","48.461","30.632"
"7","LMP3","Ryan Norman","4","1:44.525","7:07.095","Green","Track","24.724","48.636","31.165"
"38","LMP3","Rasmus Lindh","4","1:44.629","7:07.493","Green","Track","24.879","48.667","31.083"
"74","LMP3","Gar Robinson","4","1:44.898","7:11.510","Green","Track","24.844","48.768","31.286"
"54","LMP3","Jonathan Bennett","4","1:46.040","7:15.803","Green","Track","25.240","49.345","31.455"
"55","DPi","Oliver Jarvis","4","1:36.737","7:16.876","Green","Track","22.637","45.112","28.988"
"91","LMP3","Jim Cox","4","1:46.817","7:18.818","Green","Track","25.876","49.499","31.442"
"33","LMP3","Lance Willsey","4","1:47.162","7:21.127","Green","Track","25.711","49.832","31.619"
"4","GTLM","Tommy Milner","4","1:43.116","7:27.222","Green","Track","24.357","48.156","30.603"
"3","GTLM","Antonio Garcia","4","1:42.880","7:27.875","Green","Track","24.259","48.136","30.485"
"62","GTLM","Alessandro Pier Guidi","4","1:42.708","7:30.198","Green","Track","24.316","47.934","30.458"
"24","GTLM","John Edwards","4","1:43.700","7:31.456","Green","Track","24.683","48.378","30.639"
"12","GTD","Frankie Montecalvo","4","1:46.385","7:40.353","Green","Track","25.146","49.707","31.532"
"96","GTD","Robby Foley","4","1:46.944","7:40.885","Green","Track","25.654","49.680","31.610"
"111","GTD","Rolf Ineichen","4","1:46.173","7:42.223","Green","Track","24.804","49.664","31.705"
"25","GTLM","Bruno Spengler","4","1:56.487","7:42.493","Green","Pit","24.408","48.279","43.800"
"14","GTD","Aaron Telitz","4","1:45.979","7:43.839","Green","Track","24.895","49.476","31.608"
"16","GTD","Jan Heylen","4","1:46.399","7:44.742","Green","Track","25.109","49.431","31.859"
"9","GTD","Zacharie Robichon","4","1:47.568","7:45.357","Green","Track","25.929","49.752","31.887"
"79","GTLM","Kevin Estre","4","1:44.708","7:47.672","Green","Track","24.708","48.590","31.410"
"21","GTD","Matteo Cressoni","4","1:46.750","7:49.906","Green","Track","25.868","49.544","31.338"
"57","GTD","Russell Ward","4","1:48.022","7:51.049","Green","Track","26.070","50.133","31.819"
"19","GTD","Misha Goikhberg","4","1:48.190","7:51.069","Green","Track","25.814","50.003","32.373"
"23","GTD","Ian James","4","1:47.272","7:51.371","Green","Track","25.558","50.039","31.675"
"97","GTD","Maxwell Root","4","1:46.960","7:52.103","Green","Track","25.522","49.724","31.714"
"88","GTD","Rob Ferriol","4","1:48.008","7:54.497","Green","Track","25.609","50.212","32.187"
"1","GTD","Madison Snow","4","1:47.426","7:54.716","Green","Track","25.472","49.975","31.979"
"44","GTD","John Potter","4","1:48.112","7:55.396","Green","Track","25.995","50.070","32.047"
"63","GTD","Bret Curtis","4","1:48.466","7:58.277","Green","Track","26.042","50.155","32.269"
"75","GTD","Kenny Habul","4","1:48.490","7:58.463","Green","Track","26.264","50.144","32.082"
"31","DPi","Felipe Nasr","5","1:35.923","7:59.826","Green","Track","22.961","45.232","27.730"
"5","DPi","Loic Duval","5","1:35.586","8:02.388","Green","Track","23.093","44.817","27.676"
"01","DPi","Renger van der Zande","5","1:37.734","8:04.654","Green","Track","23.436","45.125","29.173"
"60","DPi","Dane Cameron","5","1:38.052","8:04.834","Green","Track","23.058","45.818","29.176"
"10","DPi","Filipe Albuquerque","5","1:37.922","8:04.995","Green","Track","23.639","45.605","28.678"
"48","DPi","Jimmie Johnson","5","1:36.669","8:06.828","Green","Track","23.401","44.981","28.287"
"42","GTD","Don Yount","4","1:50.141","8:07.947","Green","Track","25.986","51.394","32.761"
"52","LMP2","Ben Keating","5","1:38.013","8:16.149","Green","Track","23.476","46.027","28.510"
"20","LMP2","Dennis Andersen","5","1:41.845","8:25.062","Green","Track","24.149","46.429","31.267"
"64","GTD","Ted Giovanis","4","1:56.651","8:26.854","Green","Track","28.124","54.322","34.205"
"8","LMP2","John Farano","5","1:39.970","8:27.667","Green","Track","24.052","46.487","29.431"
"47","LMP2","Roberto Lacorte","5","1:39.770","8:28.167","Green","Track","24.271","46.337","29.162"
"29","LMP2","Frits Van Eerd","5","1:40.328","8:28.652","Green","Track","23.882","46.574","29.872"
"51","LMP2","Salih Yoluc","5","1:39.779","8:28.950","Green","Track","24.048","46.753","28.978"
"28","GTD","Daniel Morad","4","1:47.161","8:29.492","Green","Track","25.392","49.972","31.797"
"82","LMP2","Eric Lux","5","1:40.075","8:33.995","Green","Track","24.016","46.481","29.578"
"81","LMP2","Rob Hodes","5","1:40.379","8:35.770","Green","Track","24.119","46.542","29.718"
"18","LMP2","Dwight Merriman","5","1:40.248","8:35.797","Green","Track","24.349","46.835","29.064"
"11","LMP2","Steven Thomas","5","1:41.217","8:37.179","Green","Track","24.295","47.394","29.528"
"6","LMP3","Moritz Kranz","5","1:44.080","8:48.327","Green","Track","24.311","48.775","30.994"
"7","LMP3","Ryan Norman","5","1:44.350","8:51.445","Yellow","Track","24.604","48.688","31.058"
"38","LMP3","Rasmus Lindh","5","1:44.476","8:51.969","Yellow","Track","24.738","48.812","30.926"
"55","DPi","Oliver Jarvis","5","1:38.900","8:55.776","Yellow","Track","23.982","44.832","30.086"
"74","LMP3","Gar Robinson","5","1:45.529","8:57.039","Yellow","Track","24.796","48.960","31.773"
"54","LMP3","Jonathan Bennett","5","1:47.544","9:03.347","Yellow","Track","25.890","49.918","31.736"
"91","LMP3","Jim Cox","5","1:46.928","9:05.746","Yellow","Track","26.088","49.264","31.576"
"33","LMP3","Lance Willsey","5","1:46.810","9:07.937","Yellow","Track","25.436","49.839","31.535"
"4","GTLM","Tommy Milner","5","1:45.214","9:12.436","Yellow","Track","24.402","48.055","32.757"
"3","GTLM","Antonio Garcia","5","1:46.268","9:14.143","Yellow","Track","24.402","48.064","33.802"
"62","GTLM","Alessandro Pier Guidi","5","1:45.807","9:16.005","Yellow","Track","24.302","47.908","33.597"
"24","GTLM","John Edwards","5","1:46.709","9:18.165","Yellow","Track","24.398","48.482","33.829"
"12","GTD","Frankie Montecalvo","5","1:49.793","9:30.146","Yellow","Track","24.967","49.674","35.152"
"96","GTD","Robby Foley","5","1:50.305","9:31.190","Yellow","Track","25.110","49.846","35.349"
"111","GTD","Rolf Ineichen","5","1:50.160","9:32.383","Yellow","Track","24.903","49.621","35.636"
"14","GTD","Aaron Telitz","5","1:50.996","9:34.835","Yellow","Track","25.036","49.877","36.083"
"16","GTD","Jan Heylen","5","1:54.369","9:39.111","Yellow","Track","25.200","50.292","38.877"
"9","GTD","Zacharie Robichon","5","1:54.237","9:39.594","Yellow","Track","25.099","50.512","38.626"
"79","GTLM","Kevin Estre","5","1:52.542","9:40.214","Yellow","Track","24.885","50.243","37.414"
"21","GTD","Matteo Cressoni","5","1:50.799","9:40.705","Yellow","Track","24.752","49.454","36.593"
"57","GTD","Russell Ward","5","1:50.681","9:41.730","Yellow","Track","25.065","49.992","35.624"
"19","GTD","Misha Goikhberg","5","1:53.075","9:44.144","Yellow","Track","25.912","51.417","35.746"
"23","GTD","Ian James","5","1:53.341","9:44.712","Yellow","Track","25.979","51.640","35.722"
"97","GTD","Maxwell Root","5","1:53.229","9:45.332","Yellow","Track","25.563","52.339","35.327"
"1","GTD","Madison Snow","5","1:51.867","9:46.583","Yellow","Track","25.624","52.286","33.957"
"88","GTD","Rob Ferriol","5","1:53.955","9:48.452","Yellow","Track","26.160","52.390","35.405"
"44","GTD","John Potter","5","1:54.489","9:49.885","Yellow","Track","25.606","52.835","36.048"
"31","DPi","Felipe Nasr","6","2:02.401","10:02.227","Yellow","Track","23.760","55.135","43.506"
"5","DPi","Loic Duval","6","2:00.465","10:02.853","Yellow","Track","23.004","53.927","43.534"
"63","GTD","Bret Curtis","5","2:05.163","10:03.440","Yellow","Track","26.197","55.516","43.450"
"01","DPi","Renger van der Zande","6","1:59.303","10:03.957","Yellow","Track","23.328","54.190","41.785"
"60","DPi","Dane Cameron","6","1:59.891","10:04.725","Yellow","Track","23.686","54.646","41.559"
"75","GTD","Kenny Habul","5","2:06.722","10:05.185","Yellow","Track","26.566","58.851","41.305"
"10","DPi","Filipe Albuquerque","6","2:00.783","10:05.778","Yellow","Track","23.751","55.892","41.140"
"48","DPi","Jimmie Johnson","6","2:00.902","10:07.730","Yellow","Track","23.279","55.839","41.784"
"25","GTLM","Bruno Spengler","5","2:29.924","10:12.417","Yellow","Track","48.655","57.578","43.691"
"42","GTD","Don Yount","5","2:05.423","10:13.370","Yellow","Track","25.986","55.705","43.732"
"52","LMP2","Ben Keating","6","1:58.691","10:14.840","Yellow","Track","23.271","52.567","42.853"
"20","LMP2","Dennis Andersen","6","1:51.032","10:16.094","Yellow","Track","23.939","47.000","40.093"
"47","LMP2","Roberto Lacorte","6","1:49.313","10:17.480","Yellow","Track","24.794","48.238","36.281"
"8","LMP2","John Farano","6","1:50.517","10:18.184","Yellow","Track","26.328","51.057","33.132"
"51","LMP2","Salih Yoluc","6","2:07.064","10:36.014","Yellow","Track","26.247","60.788","40.029"
"29","LMP2","Frits Van Eerd","6","2:07.652","10:36.304","Yellow","Track","27.064","60.740","39.848"
"28","GTD","Daniel Morad","5","2:08.969","10:38.461","Yellow","Track","26.830","63.349","38.790"
"64","GTD","Ted Giovanis","5","2:12.370","10:39.224","Yellow","Track","30.809","63.247","38.314"
"82","LMP2","Eric Lux","6","2:07.208","10:41.203","Yellow","Track","25.220","63.173","38.815"
"18","LMP2","Dwight Merriman","6","2:05.636","10:41.433","Yellow","Track","24.468","62.800","38.368"
"81","LMP2","Rob Hodes","6","2:06.869","10:42.639","Yellow","Track","25.700","62.180","38.989"
"11","LMP2","Steven Thomas","6","2:06.704","10:43.883","Yellow","Track","24.955","62.678","39.071"
"6","LMP3","Moritz Kranz","6","1:58.984","10:47.311","Yellow","Track","26.880","55.855","36.249"
"7","LMP3","Ryan Norman","6","1:57.088","10:48.533","Yellow","Track","26.459","54.637","35.992"
"38","LMP3","Rasmus Lindh","6","1:58.867","10:50.836","Yellow","Track","26.359","55.105","37.403"
"55","DPi","Oliver Jarvis","6","2:00.722","10:56.498","Yellow","Track","30.071","56.061","34.590"
"74","LMP3","Gar Robinson","6","1:59.644","10:56.683","Yellow","Track","29.493","56.385","33.766"
"54","LMP3","Jonathan Bennett","6","1:55.463","10:58.810","Yellow","Track","27.650","54.040","33.773"
"91","LMP3","Jim Cox","6","1:55.461","11:01.207","Yellow","Track","28.235","54.529","32.697"
"33","LMP3","Lance Willsey","6","1:54.538","11:02.475","Yellow","Track","28.597","52.340","33.601"
"4","GTLM","Tommy Milner","6","1:54.335","11:06.771","Yellow","Track","26.664","54.486","33.185"
"3","GTLM","Antonio Garcia","6","1:55.635","11:09.778","Yellow","Track","26.601","54.448","34.586"
"62","GTLM","Alessandro Pier Guidi","6","1:54.393","11:10.398","Yellow","Track","26.596","53.384","34.413"
"24","GTLM","John Edwards","6","1:53.542","11:11.707","Yellow","Track","26.500","53.394","33.648"
"12","GTD","Frankie Montecalvo","6","2:04.119","11:34.265","Yellow","Track","29.207","59.533","35.379"
"96","GTD","Robby Foley","6","2:04.240","11:35.430","Yellow","Track","28.725","60.237","35.278"
"111","GTD","Rolf Ineichen","6","2:05.204","11:37.587","Yellow","Track","28.546","60.234","36.424"
"14","GTD","Aaron Telitz","6","2:04.716","11:39.551","Yellow","Track","28.086","60.041","36.589"
"16","GTD","Jan Heylen","6","2:01.672","11:40.783","Yellow","Track","30.321","55.278","36.073"
"9","GTD","Zacharie Robichon","6","2:01.961","11:41.555","Yellow","Track","30.256","55.459","36.246"
"79","GTLM","Kevin Estre","6","2:02.006","11:42.220","Yellow","Track","30.150","55.392","36.464"
"21","GTD","Matteo Cressoni","6","2:01.955","11:42.660","Yellow","Track","30.032","55.620","36.303"
"57","GTD","Russell Ward","6","2:01.305","11:43.035","Yellow","Track","30.239","55.478","35.588"
