"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"44","GTD","Andy Lally","329","2:55.755","10:50:00.824","Green","Pit","25.647","49.968","100.140"
"10","DPi","Filipe Albuquerque","360","1:36.636","10:50:03.455","Green","Track","23.255","45.313","28.068"
"51","LMP2","Austin Dillon","347","1:57.626","10:50:03.521","Green","Pit","25.048","47.351","45.227"
"01","DPi","Kevin Magnussen","360","1:36.718","10:50:06.452","Green","Track","23.343","44.980","28.395"
"48","DPi","Simon Pagenaud","360","1:37.331","10:50:07.646","Green","Track","23.275","45.100","28.956"
"31","DPi","Pipo Derani","360","1:37.106","10:50:08.061","Green","Track","23.282","44.934","28.890"
"6","LMP3","Moritz Kranz","336","1:45.476","10:50:09.662","Green","Track","24.794","49.238","31.444"
"60","DPi","Olivier Pla","360","1:37.231","10:50:12.863","Green","Track","23.557","45.474","28.200"
"7","LMP3","Ryan Norman","287","1:45.619","10:50:17.052","Green","Track","25.107","49.095","31.417"
"55","DPi","Harry Tincknell","357","1:36.571","10:50:17.292","Green","Track","23.769","44.870","27.932"
"38","LMP3","Rasmus Lindh","278","1:45.155","10:50:20.983","Green","Track","25.262","48.787","31.106"
"111","GTD","Steijn Schothorst","301","1:47.278","10:50:27.257","Green","Track","25.455","49.870","31.953"
"57","GTD","Maro Engel","333","1:46.509","10:50:28.857","Green","Track","25.198","49.493","31.818"
"75","GTD","Mikael Grenier","333","1:47.135","10:50:32.640","Green","Track","25.198","49.817","32.120"
"21","GTD","Simon Mann","333","1:47.317","10:50:34.113","Green","Track","25.619","49.853","31.845"
"28","GTD","Maxi Buhk","329","1:47.297","10:50:38.124","Green","Track","25.435","49.990","31.872"
"18","LMP2","Dwight Merriman","349","1:44.942","10:50:38.844","Green","Track","26.461","48.325","30.156"
"9","GTD","Lars Kern","333","1:48.219","10:50:42.080","Green","Track","26.024","50.178","32.017"
"23","GTD","Ian James","333","1:49.439","10:50:43.183","Green","Track","26.432","50.905","32.102"
"47","LMP2","Giorgio Sernagiotto","351","1:40.258","10:50:43.696","Green","Track","24.617","46.672","28.969"
"79","GTLM","Richard Lietz","331","1:44.329","10:50:47.650","Green","Track","25.244","48.363","30.722"
"97","GTD","Ben Keating","333","1:49.081","10:50:49.624","Green","Track","25.835","51.088","32.158"
"96","GTD","Aidan Read","332","1:48.218","10:50:51.830","Green","Track","26.250","50.213","31.755"
"63","GTD","Bret Curtis","332","1:50.645","10:50:54.191","Green","Track","27.200","50.924","32.521"
"42","GTD","JR Hildebrand","326","1:48.465","10:50:54.537","Green","Track","25.749","50.354","32.362"
"33","LMP3","Wayne Boyd","333","1:44.566","10:50:57.355","Green","Track","24.726","48.675","31.165"
"88","GTD","Katherine Legge","332","2:02.565","10:50:57.088","Green","Pit","26.355","50.458","45.752"
"5","DPi","Tristan Vautier","314","1:36.004","10:50:59.368","Green","Track","23.086","44.696","28.222"
"11","LMP2","Steven Thomas","351","1:41.090","10:51:08.984","Green","Track","24.303","47.238","29.549"
"91","LMP3","Jeroen Bleekemolen","326","1:44.251","10:51:15.630","Green","Track","24.892","48.345","31.014"
"14","GTD","Kyle Kirkwood","329","1:47.298","10:51:21.824","Green","Track","25.364","50.026","31.908"
"8","LMP2","John Farano","351","1:42.340","10:51:22.687","Green","Track","24.731","47.682","29.927"
"16","GTD","Patrick Long","333","1:47.633","10:51:24.163","Green","Track","25.580","49.895","32.158"
"64","GTD","Hugh Plumb","327","1:48.382","10:51:25.540","Green","Track","25.597","50.144","32.641"
"1","GTD","Madison Snow","333","1:47.960","10:51:25.654","Green","Track","25.461","50.095","32.404"
"82","LMP2","Eric Lux","350","1:56.169","10:51:25.627","Green","Pit","24.447","47.374","44.348"
